ticker,trade_date,open_price,high_price,low_price,close_price,volume,turnover,shares_outstanding
358570,2023-03-30,7893,9913,7630,8434,48560066,431155000000,52831566
358570,2023-03-31,8455,9205,7614,7639,15270267,130634000000,52831566
358570,2023-04-03,7730,7984,7093,7768,6392787,47927000000,52831566
358570,2023-04-04,7605,9892,7380,9080,34733490,310135000000,52831566
358570,2023-04-05,8705,10558,8580,9704,36001813,350655000000,52831566
358570,2023-04-06,9871,10183,9350,9996,11652226,114271000000,52831566
358570,2023-04-07,9850,9996,9246,9350,5342285,50871000000,52831566
358570,2023-04-10,9413,10579,8788,10579,23942520,238409000000,52831566
358570,2023-04-11,10579,11953,10412,10412,24604184,274173000000,52831566
358570,2023-04-12,10204,11308,9829,10329,11477431,122506000000,52831566
358570,2023-04-13,10600,11016,9996,10017,6012410,63697000000,52831566
358570,2023-04-14,10204,11016,9996,10038,7067017,74184000000,52831566
358570,2023-04-17,10766,10871,10079,10121,4608631,47870000000,52831566
358570,2023-04-18,10267,10329,9080,9225,3934391,37769000000,52831566
358570,2023-04-19,9121,9767,8830,9371,3797137,35111000000,52831566
358570,2023-04-20,9059,9163,8168,8193,3308960,28544000000,52831566
358570,2023-04-21,8063,8746,8051,8330,2604204,22049000000,52831566
358570,2023-04-24,8642,8892,8455,8497,1604894,13894000000,52831566
358570,2023-04-25,8538,8934,8372,8642,1512202,13126000000,52831566
358570,2023-04-26,8580,8580,8222,8247,850639,7075000000,52831566
358570,2023-04-27,8255,8705,7851,8455,1089118,8868000000,52831566
358570,2023-04-28,8476,8851,8372,8705,1250637,10851000000,52831566
358570,2023-05-02,8892,9309,8746,9267,1802914,16329000000,52831566
358570,2023-05-03,9059,9246,8663,8809,914459,8195000000,52831566
358570,2023-05-04,8726,9330,8663,9163,1487844,13636000000,52831566
358570,2023-05-08,9246,9996,9163,9454,3586422,34388000000,52831566
358570,2023-05-09,9288,9933,9246,9829,2935577,28644000000,52831566
358570,2023-05-10,9725,10204,9621,9954,1927777,19118000000,52831566
358570,2023-05-11,9954,10100,9309,9371,1249136,12139000000,52831566
358570,2023-05-12,9309,9788,9309,9454,883974,8456000000,52831566
358570,2023-05-15,9538,9704,8913,8996,942894,8611000000,52831566
358570,2023-05-16,8996,9205,8892,9121,517047,4680000000,52831566
358570,2023-05-17,9080,9642,8976,9475,679349,6377000000,52831566
358570,2023-05-18,9600,9642,9225,9267,480027,4525000000,52831566
358570,2023-05-19,9205,9496,9059,9454,553446,5169000000,52938169
358570,2023-05-22,9496,9663,9288,9288,539905,5091000000,52938169
358570,2023-05-23,9475,9954,9434,9871,2243551,21897000000,52938169
358570,2023-05-24,9704,10142,9642,10142,1479517,14669000000,52938169
358570,2023-05-25,10163,10183,9746,10038,1013913,10097000000,52938169
358570,2023-05-26,9975,10121,9600,9600,862910,8445000000,52938169
358570,2023-05-30,9621,9767,9371,9642,745260,7141000000,52938169
358570,2023-05-31,9850,9996,9496,9538,1756933,17242000000,52938169
358570,2023-06-01,9434,10287,9413,10163,2445171,24572000000,52938169
358570,2023-06-02,10225,10558,10079,10350,2111572,21792000000,52938169
358570,2023-06-05,10433,10454,9871,10183,1088401,10976000000,52938169
358570,2023-06-07,10121,10183,9746,9746,855182,8436000000,52938169
358570,2023-06-08,9746,9892,9288,9288,1277770,12172000000,52938169
358570,2023-06-09,9371,9538,8976,9225,1478432,13616000000,52938169
358570,2023-06-12,9246,9288,8913,8976,680696,6161000000,52938169
358570,2023-06-13,9121,9267,8976,8996,460819,4190000000,52938169
358570,2023-06-14,9100,9121,8538,8621,731988,6393000000,52938169
358570,2023-06-15,8705,8726,8434,8497,447834,3833000000,52938169
358570,2023-06-16,8601,8830,8326,8330,645889,5511000000,52938169
358570,2023-06-19,8330,8851,8168,8684,593946,5115000000,52938169
358570,2023-06-20,8684,8684,8392,8392,321209,2726000000,52938169
358570,2023-06-21,8372,8455,8022,8247,636350,5208000000,52938169
358570,2023-06-22,8101,8392,8072,8113,307644,2523000000,52938169
358570,2023-06-23,8101,8205,7922,7934,327778,2627000000,52938169
358570,2023-06-26,7955,8301,7872,8138,405133,3311000000,52938169
358570,2023-06-27,8097,8559,8072,8434,578762,4851000000,52938169
358570,2023-06-28,8372,8497,8022,8022,537638,4380000000,52938169
358570,2023-06-29,8043,8093,7922,7922,184515,1472000000,52938169
358570,2023-06-30,7922,7993,7772,7955,249346,1970000000,52938169
358570,2023-07-03,8113,8163,7705,7884,308803,2449000000,52938169
358570,2023-07-04,7913,7926,7501,7539,634078,4848000000,52938169
358570,2023-07-05,7518,7734,7480,7576,302028,2289000000,52938169
358570,2023-07-06,7576,7576,7101,7135,650892,4707000000,52938169
358570,2023-07-07,7043,7151,6731,6931,618565,4245000000,52938169
358570,2023-07-10,6872,7135,6731,6739,316657,2183000000,52938169
358570,2023-07-11,6751,7060,6743,6906,244184,1675000000,52938169
358570,2023-07-12,6876,7035,6747,6997,288546,1981000000,52938169
358570,2023-07-13,7039,8051,7018,7772,1841491,14260000000,52938169
358570,2023-07-14,7668,7880,7501,7514,488497,3716000000,52938169
358570,2023-07-17,7664,7909,7543,7655,609663,4702000000,52938169
358570,2023-07-18,7968,8272,7905,8122,1566661,12718000000,52938169
358570,2023-07-19,8105,8726,7993,8621,1344674,11311000000,52938169
358570,2023-07-20,8455,9225,8455,9038,1546992,13889000000,52938169
358570,2023-07-21,9038,9767,8851,9517,2274164,21603000000,52938169
358570,2023-07-24,9642,9954,9205,9579,1851138,17791000000,52938169
358570,2023-07-25,9475,9642,8913,9017,1090487,10048000000,52938169
358570,2023-07-26,9017,9142,8238,8601,1491200,12793000000,52938169
358570,2023-07-27,8538,8976,8372,8580,846699,7374000000,52938169
358570,2023-07-28,8559,8976,8159,8851,779489,6654000000,52938169
358570,2023-07-31,8809,9600,8809,9579,1322032,12320000000,52938169
358570,2023-08-01,9684,10392,9454,9704,2413819,24160000000,52938169
358570,2023-08-02,9954,10246,9184,9496,1307093,12774000000,52938169
358570,2023-08-03,9496,10246,9371,9788,1593275,15714000000,52938169
358570,2023-08-04,10121,10142,9579,9746,792173,7764000000,52938169
358570,2023-08-07,9746,10246,9121,9454,1318928,12779000000,52938169
358570,2023-08-08,9350,9642,9038,9163,742319,6948000000,52938169
358570,2023-08-09,9163,9933,9142,9933,1423961,13733000000,52938169
358570,2023-08-10,9996,10537,9892,10329,3296941,33829000000,52938169
358570,2023-08-11,10392,12266,10142,12266,6954478,78406000000,52938169
358570,2023-08-14,12807,12891,11933,12391,4899929,60852000000,52938169
358570,2023-08-16,11974,12766,11308,12078,3512045,41899000000,52938169
358570,2023-08-17,11683,11912,10787,11266,2704299,30516000000,52938169
358570,2023-08-18,11183,11724,10662,11037,1945633,21707000000,52951855
358570,2023-08-21,10829,11662,10746,11037,1965859,21914000000,52951855
358570,2023-08-22,11100,11454,10642,11120,1282255,14269000000,52951855
358570,2023-08-23,10954,11287,9954,10225,2526696,26238000000,52951855
358570,2023-08-24,10287,10871,10225,10683,1162874,12324000000,52951855
358570,2023-08-25,10412,10746,10204,10287,620995,6463000000,52951855
358570,2023-08-28,10433,10517,9517,9892,1852881,18122000000,52951855
358570,2023-08-29,9892,10142,9746,9933,717865,7117000000,52951855
358570,2023-08-30,10204,10996,9933,10871,2054270,21649000000,52951855
358570,2023-08-31,10912,11662,10766,11162,2651129,29914000000,52951855
358570,2023-09-01,11599,11995,10766,10912,1630306,18427000000,52951855
358570,2023-09-04,10891,11058,10433,10683,851098,9053000000,52951855
358570,2023-09-05,10558,10725,10163,10496,800267,8357000000,52951855
358570,2023-09-06,10475,11058,10142,11058,1195316,12694000000,52951855
358570,2023-09-07,11120,11495,10766,10829,1341060,14965000000,52951855
358570,2023-09-08,10954,11704,10891,11245,1959672,22307000000,52951855
358570,2023-09-11,11245,11787,11141,11787,1473839,17084000000,52951855
358570,2023-09-12,12099,13078,10871,11037,7141303,86901000000,52951855
358570,2023-09-13,11079,11745,10829,11579,1962327,22485000000,52951855
358570,2023-09-14,11558,11829,10996,11766,1367248,15678000000,52951855
358570,2023-09-15,11870,11912,11329,11454,739565,8525000000,52951855
358570,2023-09-18,11204,11495,11058,11266,496951,5591000000,52951855
