ticker,trade_date,open_price,high_price,low_price,close_price,volume,turnover,shares_outstanding
041510,2020-01-02,38700,38700,37500,37950,152452,5772000000,23447001
041510,2020-01-03,38000,38000,36800,37200,298101,11094000000,23447001
041510,2020-01-06,37200,37200,35150,35300,308017,10995000000,23447001
041510,2020-01-07,35500,36350,35500,36200,200976,7217000000,23447001
041510,2020-01-08,35800,35900,34850,35100,189018,6662000000,23447001
041510,2020-01-09,35700,36400,35650,36400,153677,5541000000,23447001
041510,2020-01-10,36150,36300,34850,35650,448684,15861000000,23447001
041510,2020-01-13,36300,39350,36200,38850,1193705,46060000000,23447001
041510,2020-01-14,38850,39200,37850,38050,419028,16079000000,23447001
041510,2020-01-15,38000,38250,37250,37700,325639,12244000000,23447001
041510,2020-01-16,38000,38050,37200,37800,223948,8419000000,23447001
041510,2020-01-17,37600,38150,37450,37700,142972,5407000000,23447001
041510,2020-01-20,38000,39000,37450,37900,359765,13774000000,23447001
041510,2020-01-21,37900,37900,35850,36000,463535,16866000000,23447001
041510,2020-01-22,35850,36750,35750,36500,217951,7911000000,23447001
041510,2020-01-23,36050,36350,35850,36000,125313,4511000000,23447001
041510,2020-01-28,32450,33800,32050,32900,467470,15439000000,23447001
041510,2020-01-29,32900,34200,32900,33600,229544,7738000000,23447001
041510,2020-01-30,33150,34250,33150,33650,149732,5044000000,23447101
041510,2020-01-31,33850,34000,32850,32850,169043,5622000000,23447101
041510,2020-02-03,31950,33400,31650,33250,206850,6756000000,23447101
041510,2020-02-04,33600,34250,33100,33950,129255,4370000000,23447101
041510,2020-02-05,34100,34550,33300,33850,114271,3867000000,23447101
041510,2020-02-06,34050,34400,33600,34350,119666,4072000000,23447101
041510,2020-02-07,34400,34800,33750,33950,135472,4612000000,23447101
041510,2020-02-10,33750,33800,33200,33500,118403,3958000000,23447101
041510,2020-02-11,33750,34400,33700,34100,90638,3087000000,23447101
041510,2020-02-12,34050,34250,33650,34250,103832,3527000000,23447101
041510,2020-02-13,34350,34350,33850,34000,127585,4344000000,23447101
041510,2020-02-14,34250,34250,33600,33950,101552,3437000000,23447101
041510,2020-02-17,34000,34250,33300,34050,115207,3896000000,23447101
041510,2020-02-18,33950,34050,33300,33400,110105,3696000000,23447101
041510,2020-02-19,33650,33750,32850,33100,101171,3354000000,23447101
041510,2020-02-20,33200,33300,32350,32550,110985,3629000000,23447101
041510,2020-02-21,32150,32400,31400,31500,117481,3747000000,23447101
041510,2020-02-24,30600,30950,29900,30000,193382,5847000000,23447101
041510,2020-02-25,29750,31550,29700,31550,163372,5039000000,23447101
041510,2020-02-26,30650,31950,30650,31050,158711,4933000000,23447101
041510,2020-02-27,31000,31600,29900,30100,208771,6347000000,23447101
041510,2020-02-28,29600,29950,28000,28450,332874,9596000000,23447101
041510,2020-03-02,28050,29800,28050,29700,201929,5902000000,23447101
041510,2020-03-03,30300,30650,29400,29600,167701,5007000000,23447101
041510,2020-03-04,29600,30000,29400,29750,124830,3710000000,23447101
041510,2020-03-05,29900,30050,29400,29700,149508,4437000000,23447101
041510,2020-03-06,29100,29400,27650,28300,435866,12277000000,23447101
041510,2020-03-09,27500,27750,26050,26400,343654,9106000000,23447101
041510,2020-03-10,25900,27400,25900,26550,354958,9397000000,23447101
041510,2020-03-11,26300,26800,25850,26100,247777,6524000000,23447101
041510,2020-03-12,25100,25650,22700,23400,673918,16027000000,23447101
041510,2020-03-13,20600,23750,20550,22550,956110,21038000000,23447101
041510,2020-03-16,22600,23250,21550,21700,392542,8799000000,23447101
041510,2020-03-17,19850,22050,19850,21400,340796,7229000000,23447101
041510,2020-03-18,21700,22700,20500,20500,308992,6672000000,23447101
