ticker,trade_date,open_price,high_price,low_price,close_price,volume,turnover,shares_outstanding
237690,2020-01-02,29800,29850,28600,29700,125696,3677000000,18656000
237690,2020-01-03,29550,30100,28750,29050,99151,2914000000,18656000
237690,2020-01-06,28700,28900,27200,27650,153939,4305000000,18656000
237690,2020-01-07,27850,28650,27850,28500,73082,2074000000,18656000
237690,2020-01-08,28450,28450,26500,27300,181403,4968000000,18656000
237690,2020-01-09,28050,28750,27500,28650,94663,2658000000,18656000
237690,2020-01-10,28550,28800,27450,28600,116881,3283000000,18656000
237690,2020-01-13,28500,28700,27150,27200,149573,4118000000,18656000
237690,2020-01-14,27450,27600,26800,26900,91689,2488000000,18656000
237690,2020-01-15,26850,27300,26600,27300,65693,1766000000,18656000
237690,2020-01-16,27050,28400,27050,28350,98819,2774000000,18656000
237690,2020-01-17,28350,28400,27750,28050,36855,1033000000,18656000
237690,2020-01-20,28350,28350,27400,27450,36845,1020000000,18656000
237690,2020-01-21,27450,27500,26450,26650,72538,1939000000,18656000
237690,2020-01-22,26800,29650,26750,29650,163845,4683000000,18656000
237690,2020-01-23,29650,29650,28600,29000,63600,1839000000,18656000
237690,2020-01-28,28000,30750,27750,29000,182963,5322000000,18656000
237690,2020-01-29,29100,29150,28100,28650,57013,1636000000,18656000
237690,2020-01-30,28350,29150,27900,28600,81152,2303000000,18656000
237690,2020-01-31,28700,29400,27350,27600,109193,3104000000,18656000
237690,2020-02-03,27700,28300,27300,27600,103184,2869000000,18656000
237690,2020-02-04,27450,31000,27400,31000,345237,10321000000,18656000
237690,2020-02-05,31800,31800,30200,30550,173500,5345000000,18656000
237690,2020-02-06,30850,31700,29350,29700,191073,5822000000,18656000
237690,2020-02-07,29500,29650,28650,28900,90002,2623000000,18656000
237690,2020-02-10,29000,30300,28500,29350,94967,2808000000,18656000
237690,2020-02-11,29750,30050,29000,29800,72880,2159000000,18656000
237690,2020-02-12,29600,30000,28800,29200,81117,2368000000,18656000
237690,2020-02-13,29000,30750,28700,30300,207099,6232000000,18656000
237690,2020-02-14,30150,30450,29650,30000,72246,2160000000,18656000
237690,2020-02-17,30000,30000,28850,29400,75913,2220000000,18656000
237690,2020-02-18,29150,29350,28050,28250,116881,3312000000,18656000
237690,2020-02-19,28500,29050,27600,28150,66597,1888000000,18656000
237690,2020-02-20,28400,28550,27750,28200,49742,1395000000,18656000
237690,2020-02-21,27900,28400,27300,27300,70865,1963000000,18656000
237690,2020-02-24,27300,28600,26850,27550,164792,4624000000,18656000
237690,2020-02-25,27800,30400,27550,30150,254824,7474000000,18656000
237690,2020-02-26,29650,33400,29250,33000,594435,18891000000,18656000
237690,2020-02-27,33100,34150,31800,31800,445502,14763000000,18656000
237690,2020-02-28,31100,32150,28200,28900,314712,9393000000,18656000
237690,2020-03-02,29250,30950,28050,30750,249000,7431000000,18656000
237690,2020-03-03,31550,31550,29750,30300,149388,4564000000,18656000
237690,2020-03-04,29800,32500,29800,32500,201993,6393000000,18656000
237690,2020-03-05,32800,35450,32450,35050,497385,17012000000,18656000
237690,2020-03-06,34700,37600,34500,36250,466237,16842000000,18656000
237690,2020-03-09,35650,36800,33400,33800,259000,9087000000,18656000
237690,2020-03-10,33800,34100,31900,33000,384051,12636000000,18656000
237690,2020-03-11,32850,33200,29600,30300,389221,12005000000,18656000
237690,2020-03-12,30300,34350,27950,30150,1310569,40722000000,18656000
237690,2020-03-13,27500,28500,24100,26700,617794,16150000000,18656000
237690,2020-03-16,27000,27500,22550,22900,388065,9792000000,18656000
237690,2020-03-17,20950,27450,20950,25800,442599,10802000000,18656000
237690,2020-03-18,25850,29550,25000,25000,580827,16168000000,18656000
237690,2020-03-19,26650,27200,23000,23500,453738,11498000000,18656000
237690,2020-03-20,25150,28300,24300,27450,370941,9860000000,18656000
237690,2020-03-23,26500,28350,25250,25250,403190,10762000000,18656000
237690,2020-03-24,27750,27850,26350,27350,393696,10643000000,18656000
237690,2020-03-25,27850,28000,25800,27550,329275,8873000000,18656000
237690,2020-03-26,27450,28950,26700,27450,365252,10144000000,18656000
237690,2020-03-27,28100,30450,26450,28950,455245,12975000000,18656000
237690,2020-03-30,28300,31550,27900,30400,390776,11879000000,18656000
237690,2020-03-31,31700,33250,30000,31450,413128,13095000000,18656000
237690,2020-04-01,31600,37250,30850,32500,1203039,40773000000,18656000
237690,2020-04-02,33150,33400,30000,32300,367687,11618000000,18656000
237690,2020-04-03,32150,34450,31700,34000,472553,15808000000,18656000
237690,2020-04-06,35200,39400,34850,39200,1405894,52577000000,18656000
237690,2020-04-07,39200,43100,37150,40800,1708288,69484000000,18656000
237690,2020-04-08,39750,39850,37250,37400,669293,25611000000,18656000
237690,2020-04-09,37250,38100,35450,36550,540101,19625000000,18656000
237690,2020-04-10,37750,38900,35350,37550,697334,26218000000,18656000
237690,2020-04-13,38650,39700,35050,35050,688264,25662000000,18656000
237690,2020-04-14,35400,35500,33250,33650,436344,14871000000,18656000
237690,2020-04-16,33500,33600,32500,33200,289803,9530000000,18656000
237690,2020-04-17,37700,37800,32750,33200,1002197,34933000000,18656000
237690,2020-04-20,33500,35750,32700,34350,536946,18327000000,18656000
237690,2020-04-21,33700,37050,33200,36950,766459,27135000000,18656000
237690,2020-04-22,36800,38350,36250,37200,621848,23226000000,18656000
237690,2020-04-23,37500,37600,36350,37300,237938,8808000000,18656000
237690,2020-04-24,35650,36500,34800,34900,403492,14330000000,18656000
237690,2020-04-27,34900,35200,33500,33950,223925,7624000000,18656000
237690,2020-04-28,34400,35100,33950,33950,174107,5987000000,18656000
237690,2020-04-29,33500,33900,32000,32900,295506,9697000000,18656000
237690,2020-05-04,34150,35200,33450,34000,366182,12519000000,18656000
237690,2020-05-06,34000,35100,32700,34950,165245,5660000000,18656000
237690,2020-05-07,34850,37500,34550,37100,437668,15924000000,18656000
237690,2020-05-08,37150,38700,35950,37300,555385,20904000000,18656000
237690,2020-05-11,37900,37900,35600,35650,247393,8982000000,18656000
237690,2020-05-12,35950,36850,35400,35400,183022,6609000000,18656000
237690,2020-05-13,35000,39250,34700,39250,696825,26531000000,18656000
237690,2020-05-14,39250,39600,37650,37850,373963,14402000000,18656000
237690,2020-05-15,38150,38350,36150,36450,248359,9174000000,18656000
237690,2020-05-18,36150,37950,35950,36450,189512,6987000000,18656000
237690,2020-05-19,38350,38750,35500,36000,431421,15878000000,18656000
237690,2020-05-20,36000,36200,35500,35900,120300,4309000000,18656000
237690,2020-05-21,35750,37750,35000,36400,363939,13166000000,18656000
237690,2020-05-22,35600,36550,35200,35500,161221,5750000000,18656000
237690,2020-05-25,35800,36500,35450,35950,100124,3601000000,18656000
237690,2020-05-26,35700,36100,35300,35950,86877,3098000000,18656000
237690,2020-05-27,35900,35900,35000,35150,103486,3655000000,18656000
237690,2020-05-28,35200,35700,34500,35000,109956,3848000000,18656000
237690,2020-05-29,34850,36900,34350,36900,273689,9862000000,18656000
237690,2020-06-01,36250,36750,36150,36700,120938,4407000000,18656000
237690,2020-06-02,36450,38150,36150,37600,297426,11116000000,18656000
237690,2020-06-03,38100,38200,35450,35450,262919,9541000000,18656000
237690,2020-06-04,35550,35950,34700,35050,146081,5137000000,18656000
237690,2020-06-05,35100,35450,34200,35450,134680,4668000000,18656000
237690,2020-06-08,35050,35650,34950,35350,79443,2798000000,18656000
237690,2020-06-09,35450,36500,34850,36500,174542,6245000000,18656000
237690,2020-06-10,36850,37350,36300,37000,242135,8968000000,18656000
237690,2020-06-11,37300,40850,36700,39850,1155275,45489000000,18656000
237690,2020-06-12,38200,40500,37600,40350,594715,23405000000,18656000
237690,2020-06-15,40050,43100,36500,36900,956964,38979000000,18656000
237690,2020-06-16,38800,41650,38200,41200,522364,20934000000,18656000
237690,2020-06-17,41100,41650,38600,39200,393544,15656000000,18656000
237690,2020-06-18,39200,39850,38400,38800,167677,6538000000,18656000
237690,2020-06-19,39200,39300,37500,38600,246747,9419000000,18656000
237690,2020-06-22,38700,42150,38300,40750,811287,33292000000,18656000
237690,2020-06-23,45100,46250,41550,41550,1488317,65744000000,18656000
237690,2020-06-24,41900,45700,40900,44000,887214,39023000000,18656000
237690,2020-06-25,43150,43250,41800,42050,281204,11935000000,18656000
237690,2020-06-26,42200,44550,42150,44200,296082,12908000000,18656000
237690,2020-06-29,43500,44300,42300,42300,180535,7778000000,18656000
237690,2020-06-30,43000,43500,39050,40300,322940,13178000000,18656000
237690,2020-07-01,40900,41200,38850,39300,157306,6284000000,18656000
237690,2020-07-02,39400,40500,38500,39600,216036,8485000000,18656000
237690,2020-07-03,39650,43550,38700,42350,551530,22866000000,18656000
237690,2020-07-06,42850,52000,42000,50300,2764549,133115000000,18656000
237690,2020-07-07,49400,51500,48050,51400,846246,42191000000,18656000
237690,2020-07-08,50900,53600,49250,50400,665612,34357000000,18656000
237690,2020-07-09,51100,51100,49600,50200,326568,16312000000,18656000
237690,2020-07-10,46600,46600,45050,45950,2649142,121846000000,18656000
237690,2020-07-13,46450,48750,45300,47050,632987,29755000000,18656000
237690,2020-07-14,47050,49450,46800,48800,460976,22251000000,18656000
237690,2020-07-15,50300,50800,48850,49200,466943,23199000000,18656000
237690,2020-07-16,49250,49450,47500,48950,335545,16261000000,18656000
237690,2020-07-17,49700,54600,49400,53000,1183935,61883000000,18656000
237690,2020-07-20,53000,53300,51100,53100,381558,19974000000,18656000
237690,2020-07-21,53200,57100,53200,53700,622429,34342000000,18656000
237690,2020-07-22,54900,59200,54500,58800,761708,43659000000,18656000
237690,2020-07-23,59000,63200,58000,59200,637600,38377000000,18656000
237690,2020-07-24,58500,59800,56000,57800,503911,29098000000,18656000
237690,2020-07-27,59400,62900,58300,59700,533886,32419000000,18656000
237690,2020-07-28,61000,62200,59300,60900,285365,17249000000,18656000
237690,2020-07-29,60900,60900,56700,56700,536381,31011000000,18656000
237690,2020-07-30,56700,57600,54500,56600,409559,22908000000,18656000
237690,2020-07-31,55700,62400,55700,61200,655365,39089000000,18656000
237690,2020-08-03,60800,62900,59900,62400,420252,25839000000,18656000
237690,2020-08-04,62000,63600,59700,60200,442329,26857000000,18656000
237690,2020-08-05,59800,61200,56600,60200,335062,20019000000,18656000
237690,2020-08-06,61300,61300,59500,60500,164184,9886000000,18656000
237690,2020-08-07,61000,61000,58400,59500,197425,11728000000,18656000
237690,2020-08-10,58900,60300,58000,59800,161611,9569000000,18656000
237690,2020-08-11,60200,60700,59100,59800,150313,8970000000,18656000
237690,2020-08-12,62500,65500,59900,65000,966169,61103000000,18656000
237690,2020-08-13,64800,65100,62700,63400,303240,19327000000,18656000
237690,2020-08-14,63400,64000,58000,59100,395937,23816000000,18656000
237690,2020-08-18,58700,60800,54700,56000,386624,22298000000,18656000
237690,2020-08-19,57400,61400,57100,60400,402148,24084000000,18656000
