ticker,trade_date,open_price,high_price,low_price,close_price,volume,turnover,shares_outstanding
035900,2020-01-02,24200,24250,23550,24100,378735,9064000000,35494992
035900,2020-01-03,24450,24800,24050,24200,645440,15749000000,35494992
035900,2020-01-06,23800,23800,22800,22900,702558,16289000000,35494992
035900,2020-01-07,23100,23450,23000,23250,398573,9264000000,35494992
035900,2020-01-08,23100,23150,22000,22650,647681,14633000000,35494992
035900,2020-01-09,23150,23700,23050,23600,412018,9610000000,35494992
035900,2020-01-10,23600,23800,23350,23500,275970,6489000000,35494992
035900,2020-01-13,24450,26400,24200,26050,2780741,71029000000,35494992
035900,2020-01-14,26500,26550,25700,25900,1219613,31742000000,35494992
035900,2020-01-15,26000,26500,25450,26500,816380,21199000000,35494992
035900,2020-01-16,26700,27100,26250,26850,810885,21599000000,35494992
035900,2020-01-17,26850,27150,26550,26850,510132,13755000000,35494992
035900,2020-01-20,26900,27600,26650,26800,601135,16290000000,35494992
035900,2020-01-21,27000,27150,26050,26250,556184,14661000000,35494992
035900,2020-01-22,26200,27300,26100,27300,493963,13329000000,35494992
035900,2020-01-23,27050,27250,26600,27000,449117,12109000000,35494992
035900,2020-01-28,25000,25700,24500,25200,1126250,28358000000,35494992
035900,2020-01-29,25600,26300,25400,25900,714870,18530000000,35494992
035900,2020-01-30,26000,26100,25200,25450,486603,12456000000,35494992
035900,2020-01-31,25700,25800,24700,24700,387242,9778000000,35494992
035900,2020-02-03,23950,25500,23600,25200,611372,15161000000,35494992
035900,2020-02-04,25400,25900,25050,25450,384774,9808000000,35494992
035900,2020-02-05,25600,26000,25150,25300,314291,8040000000,35494992
035900,2020-02-06,25800,25800,25100,25700,291560,7437000000,35494992
035900,2020-02-07,25750,26150,25300,25750,248961,6398000000,35494992
035900,2020-02-10,25600,25750,25350,25600,154695,3946000000,35494992
035900,2020-02-11,25700,25750,25300,25500,186934,4759000000,35494992
035900,2020-02-12,25500,25550,25000,25350,309432,7789000000,35494992
