ticker,trade_date,open_price,high_price,low_price,close_price,volume,turnover,shares_outstanding
030520,2020-01-02,10150,10200,10000,10150,75227,761000000,24440319
030520,2020-01-03,10200,10250,10100,10100,52330,531000000,24440319
030520,2020-01-06,9990,10050,9900,9950,77750,773000000,24440319
030520,2020-01-07,10000,10350,10000,10350,206144,2104000000,24440319
030520,2020-01-08,10250,10300,9960,10100,183259,1848000000,24440319
030520,2020-01-09,10300,10950,10250,10950,667721,7156000000,24440319
030520,2020-01-10,10950,11400,10850,10900,404100,4490000000,24440319
030520,2020-01-13,10950,11300,10750,10950,227459,2490000000,24440319
030520,2020-01-14,10950,11050,10400,10550,261773,2792000000,24440319
030520,2020-01-15,10600,10700,10500,10650,79860,847000000,24440319
030520,2020-01-16,10750,10750,10550,10600,48681,518000000,24440319
030520,2020-01-17,10650,10900,10600,10700,78139,837000000,24440319
030520,2020-01-20,10750,10800,10600,10750,105787,1133000000,24440319
030520,2020-01-21,10850,10850,10500,10600,74115,787000000,24440319
030520,2020-01-22,10650,10700,10500,10700,73275,777000000,24440319
030520,2020-01-23,10700,11350,10600,11250,316246,3474000000,24440319
030520,2020-01-28,11950,12000,11100,11650,1324505,15219000000,24440319
030520,2020-01-29,11900,11950,11250,11550,543330,6280000000,24440319
030520,2020-01-30,11500,12450,11350,11700,1243542,14731000000,24440319
030520,2020-01-31,12150,12150,11150,11150,656755,7598000000,24440319
030520,2020-02-03,11300,11500,10550,10750,717316,7862000000,24440319
030520,2020-02-04,10700,10900,10550,10650,268617,2888000000,24440319
030520,2020-02-05,10900,11100,10550,10700,319071,3445000000,24440319
030520,2020-02-06,10800,11050,10650,11000,283048,3082000000,24440319
030520,2020-02-07,11100,11150,10600,10650,275525,2964000000,24440319
030520,2020-02-10,10550,10600,10350,10450,246509,2581000000,24440319
030520,2020-02-11,10600,10700,10400,10650,211156,2231000000,24440319
030520,2020-02-12,10650,10700,10500,10550,123143,1299000000,24440319
030520,2020-02-13,10600,10650,10400,10450,193073,2032000000,24440319
030520,2020-02-14,10500,10600,10350,10450,109438,1145000000,24440319
030520,2020-02-17,10800,10800,10500,10550,108525,1151000000,24440319
030520,2020-02-18,10550,10600,10300,10400,164751,1717000000,24440319
030520,2020-02-19,10400,10550,10200,10550,115681,1202000000,24440319
030520,2020-02-20,10650,10850,10550,10650,218851,2336000000,24440319
030520,2020-02-21,10800,10800,10150,10200,316396,3281000000,24440319
030520,2020-02-24,10200,10400,9920,9930,283969,2872000000,24440319
030520,2020-02-25,9930,10150,9880,10050,141244,1414000000,24440319
030520,2020-02-26,10100,10400,9960,10200,224088,2283000000,24440319
030520,2020-02-27,10350,10850,10050,10200,352963,3687000000,24440319
030520,2020-02-28,10000,10100,9610,10000,234785,2322000000,24440319
030520,2020-03-02,9890,10150,9830,10150,156048,1558000000,24440319
030520,2020-03-03,10200,10450,10150,10150,188638,1939000000,24440319
030520,2020-03-04,10200,10500,10150,10450,146902,1520000000,24440319
030520,2020-03-05,10500,10600,10400,10450,95842,1001000000,24440319
030520,2020-03-06,10250,10400,10150,10300,111502,1142000000,24440319
030520,2020-03-09,10200,10200,9740,9800,250043,2478000000,24440319
030520,2020-03-10,9600,9740,9490,9680,199476,1914000000,24440319
030520,2020-03-11,9700,9780,9150,9200,276762,2593000000,24440319
030520,2020-03-12,9020,9170,8390,8390,292424,2533000000,24440319
030520,2020-03-13,7600,7720,6860,7580,551143,4064000000,24440319
030520,2020-03-16,7700,7900,7220,7220,284795,2163000000,24440319
030520,2020-03-17,6550,7320,6550,7050,220333,1531000000,24440319
030520,2020-03-18,7150,8900,7000,7000,973810,7578000000,24440319
030520,2020-03-19,7140,8100,6370,6510,1185224,8561000000,24440319
030520,2020-03-20,6520,6990,6520,6810,438190,2978000000,24440319
030520,2020-03-23,6320,6740,6320,6500,235962,1543000000,24440319
030520,2020-03-24,6650,6850,6560,6840,326869,2193000000,24440319
030520,2020-03-25,7300,7480,6990,7250,352654,2552000000,24440319
030520,2020-03-26,7330,8060,7290,7600,624896,4818000000,24440319
030520,2020-03-27,7980,8430,7670,8100,722894,5783000000,24440319
030520,2020-03-30,8500,9130,8360,8940,991987,8736000000,24440319
030520,2020-03-31,9300,9820,8940,9370,1030019,9712000000,24440319
030520,2020-04-01,9370,9500,8780,8860,507169,4649000000,24440319
030520,2020-04-02,9200,9590,8860,9500,816806,7622000000,24440319
030520,2020-04-03,9760,9760,9200,9450,400823,3786000000,24440319
030520,2020-04-06,9640,10650,9480,10400,1290318,13019000000,24440319
030520,2020-04-07,10650,10650,9920,10200,708602,7187000000,24440319
030520,2020-04-08,10300,10700,10100,10250,704884,7357000000,24440319
030520,2020-04-09,10500,13300,10400,12600,6765253,84046000000,24440319
030520,2020-04-10,12650,12900,11250,11500,2159231,25791000000,24440319
030520,2020-04-13,11500,12350,11500,12100,1648351,19851000000,24440319
030520,2020-04-14,12250,12350,11950,12150,586117,7121000000,24440319
030520,2020-04-16,12150,12600,11750,11850,545959,6585000000,24440319
030520,2020-04-17,12000,12000,11450,11650,568720,6624000000,24440319
030520,2020-04-20,11650,11950,11450,11600,412997,4814000000,24440319
030520,2020-04-21,11600,11700,10500,11300,702240,7807000000,24440319
030520,2020-04-22,11000,11900,10900,11800,558970,6445000000,24440319
030520,2020-04-23,12500,13450,12250,12300,2439826,31436000000,24440319
030520,2020-04-24,12400,12850,12100,12400,871855,10922000000,24440319
030520,2020-04-27,12600,13050,12350,12500,981439,12451000000,24440319
030520,2020-04-28,12900,12950,12350,12450,502320,6359000000,24440319
030520,2020-04-29,12400,12650,12350,12550,275596,3441000000,24440319
030520,2020-05-04,12200,12600,12200,12400,252417,3128000000,24440319
030520,2020-05-06,12700,12700,12250,12450,259620,3224000000,24440319
030520,2020-05-07,12400,13450,12350,13400,1152189,15021000000,24440319
030520,2020-05-08,13500,13550,13000,13150,735645,9689000000,24440319
030520,2020-05-11,13200,13250,12900,12950,363664,4743000000,24440319
030520,2020-05-12,13000,13500,12950,13350,558744,7409000000,24440319
030520,2020-05-13,13250,13600,13100,13450,415532,5570000000,24440319
030520,2020-05-14,13350,13350,12950,13000,307310,4025000000,24440319
030520,2020-05-15,13200,13200,12500,12850,434468,5549000000,24440319
030520,2020-05-18,13050,13150,12700,13000,271404,3514000000,24440319
030520,2020-05-19,13150,13200,12700,12850,281781,3629000000,24440319
030520,2020-05-20,13000,13300,12850,13200,340923,4470000000,24440319
030520,2020-05-21,13300,13300,12850,13000,272276,3549000000,24440319
030520,2020-05-22,13100,13100,12150,12300,770970,9660000000,24440319
030520,2020-05-25,12400,12900,12350,12700,299139,3784000000,24440319
030520,2020-05-26,12800,13000,12700,12850,201282,2585000000,24440319
030520,2020-05-27,12850,12950,12400,12650,278335,3526000000,24440319
030520,2020-05-28,12700,12900,12250,12600,355608,4487000000,24440319
030520,2020-05-29,12600,12650,12000,12000,446450,5442000000,24440319
030520,2020-06-01,12100,12550,12100,12400,285888,3538000000,24440319
030520,2020-06-02,12550,12950,12400,12800,432596,5498000000,24440319
030520,2020-06-03,12950,12950,12300,12350,465841,5817000000,24440319
030520,2020-06-04,12550,12600,12300,12350,246490,3066000000,24440319
030520,2020-06-05,12500,12500,12150,12350,223586,2748000000,24440319
030520,2020-06-08,12450,12450,12200,12350,150221,1853000000,24440319
030520,2020-06-09,12500,12550,12250,12350,243144,3012000000,24440319
030520,2020-06-10,12350,12650,12300,12550,256248,3208000000,24440319
030520,2020-06-11,12600,13700,12550,13450,1564754,20759000000,24440319
030520,2020-06-12,12900,13650,12550,13500,942515,12335000000,24440319
030520,2020-06-15,13650,14850,12900,13100,2236899,31541000000,24440319
030520,2020-06-16,13900,15100,13700,14950,1776855,25677000000,24440319
030520,2020-06-17,15150,15250,14200,14850,939553,13900000000,24440319
030520,2020-06-18,15000,15800,14650,14850,1123749,17080000000,24440319
030520,2020-06-19,15000,16250,14500,16250,1682065,26263000000,24440319
030520,2020-06-22,16100,16600,15700,16350,893210,14491000000,24440319
030520,2020-06-23,16300,16450,15400,15900,778803,12363000000,24440319
030520,2020-06-24,16250,16600,15850,16250,524266,8501000000,24440319
030520,2020-06-25,15900,16550,15650,16500,510447,8238000000,24440319
030520,2020-06-26,16950,16950,15800,15950,422549,6847000000,24440319
030520,2020-06-29,15550,16050,15250,15400,425716,6640000000,24440319
030520,2020-06-30,15550,15850,15250,15500,256678,3986000000,24440319
030520,2020-07-01,15650,15800,15000,15200,242195,3736000000,24440319
030520,2020-07-02,15200,15600,15150,15550,191062,2930000000,24440319
030520,2020-07-03,15600,15650,15300,15450,135893,2096000000,24440319
030520,2020-07-06,15500,15800,15250,15550,178324,2775000000,24440319
030520,2020-07-07,15800,16250,15350,16100,397390,6298000000,24440319
030520,2020-07-08,16100,17300,15700,17000,665299,11093000000,24440319
030520,2020-07-09,17200,17800,16800,17400,562441,9760000000,24440319
030520,2020-07-10,17500,18050,17100,17250,409618,7162000000,24440319
030520,2020-07-13,17550,17850,17250,17650,252106,4438000000,24440319
030520,2020-07-14,17600,17600,17100,17150,301846,5242000000,24440319
030520,2020-07-15,17200,17350,16350,16900,328546,5527000000,24440319
030520,2020-07-16,16700,17000,16200,16400,346578,5703000000,24440319
030520,2020-07-17,16300,16650,15850,16150,308664,4981000000,24440319
030520,2020-07-20,16350,16850,16200,16550,294620,4875000000,24440319
030520,2020-07-21,16800,17400,16550,17000,316428,5377000000,24440319
030520,2020-07-22,17050,17150,16550,16800,270128,4542000000,24440319
030520,2020-07-23,16800,16800,15950,16100,502341,8160000000,24440319
030520,2020-07-24,15900,16000,15300,15400,483537,7536000000,24440319
030520,2020-07-27,15250,15750,15250,15550,119172,1855000000,24440319
030520,2020-07-28,15800,15850,15050,15450,304383,4675000000,24440319
030520,2020-07-29,15450,15600,15150,15500,164899,2530000000,24440319
030520,2020-07-30,15700,16200,15350,16200,299323,4717000000,24440319
030520,2020-07-31,16400,17650,16350,16900,1022557,17486000000,24440319
030520,2020-08-03,17150,17700,16850,17350,579802,10042000000,24440319
030520,2020-08-04,17400,17450,16700,17100,445400,7563000000,24440319
030520,2020-08-05,17150,17500,16950,17150,406932,6985000000,24440319
030520,2020-08-06,17100,17500,16950,17100,275789,4733000000,24440319
030520,2020-08-07,17100,17200,16700,17100,270489,4572000000,24440319
030520,2020-08-10,17100,17850,16800,17600,423077,7320000000,24440319
030520,2020-08-11,18150,18400,17450,17550,611503,10974000000,24440319
030520,2020-08-12,17500,17500,16650,17050,438587,7436000000,24440319
030520,2020-08-13,17200,18400,16850,18100,1377911,24612000000,24440319
030520,2020-08-14,18400,18750,17300,17300,1314361,23709000000,24440319
030520,2020-08-18,17600,18000,16400,16650,1107173,19156000000,24440319
030520,2020-08-19,17150,17350,16500,16950,765712,12953000000,24440319
030520,2020-08-20,17050,17200,15900,16150,613665,10017000000,24440319
030520,2020-08-21,16450,16650,15900,16500,710628,11548000000,24440319
030520,2020-08-24,17100,19650,16900,18300,4501939,83042000000,24440319
030520,2020-08-25,18400,19000,18000,18800,1265386,23429000000,24440319
030520,2020-08-26,19000,19300,18300,18950,783702,14646000000,24440319
030520,2020-08-27,19050,19300,18600,18650,791441,14995000000,24440319
030520,2020-08-28,18900,20450,18850,20000,1918738,37886000000,24440319
030520,2020-08-31,20200,20250,19300,19700,949322,18638000000,24440319
030520,2020-09-01,19600,19600,18750,19150,850830,16197000000,24440319
030520,2020-09-02,19400,21000,19150,20400,1656094,33722000000,24440319
030520,2020-09-03,20150,21400,19850,21150,1040039,21601000000,24440319
030520,2020-09-04,20500,20750,20150,20550,790363,16187000000,24440319
030520,2020-09-07,20600,20750,19800,20050,584208,11787000000,24440319
030520,2020-09-08,20550,21300,19900,20000,1060969,21900000000,24440319
030520,2020-09-09,19500,20300,19500,19800,453354,8984000000,24440319
030520,2020-09-10,20350,20450,19650,20300,403787,8091000000,24440319
030520,2020-09-11,20000,20500,19800,20500,239892,4818000000,24440319
030520,2020-09-14,20750,20950,20250,20500,547917,11316000000,24440319
030520,2020-09-15,20900,21800,20700,21350,896251,19122000000,24440319
030520,2020-09-16,21350,21800,20500,20700,425465,8993000000,24440319
030520,2020-09-17,20750,20900,19950,20100,347362,7055000000,24440319
030520,2020-09-18,20100,20400,19450,19900,320416,6357000000,24440319
030520,2020-09-21,19900,19950,18800,19050,748470,14360000000,24440319
030520,2020-09-22,19050,19050,17850,18550,557160,10239000000,24440319
030520,2020-09-23,18900,19150,18100,18850,370018,6945000000,24440319
030520,2020-09-24,18150,18550,17200,17500,605868,10797000000,24440319
030520,2020-09-25,17700,18000,17400,17600,241114,4284000000,24440319
030520,2020-09-28,18000,18850,17950,18500,367244,6797000000,24575454
030520,2020-09-29,18700,19050,18500,18900,250348,4705000000,24575454
030520,2020-10-05,19150,19150,18600,18850,198119,3717000000,24575454
030520,2020-10-06,19000,19000,18600,18750,150254,2818000000,24575454
030520,2020-10-07,18650,19000,18500,18800,158573,2982000000,24575454
030520,2020-10-08,18950,18950,18450,18450,200106,3721000000,24575454
030520,2020-10-12,18550,18850,18400,18700,185770,3464000000,24575454
030520,2020-10-13,19300,19650,18850,19350,662866,12803000000,24575454
030520,2020-10-14,19600,19850,19300,19400,489661,9596000000,24575454
030520,2020-10-15,19500,19500,18700,19200,292216,5570000000,24575454
030520,2020-10-16,19450,19900,18800,19900,326742,6311000000,24575454
030520,2020-10-19,19750,20100,18500,18750,608790,11729000000,24575454
030520,2020-10-20,18550,18800,17750,18250,408845,7432000000,24575454
030520,2020-10-21,18450,18750,18200,18400,171090,3157000000,24575454
030520,2020-10-22,18200,18400,17950,18000,170324,3081000000,24575454
030520,2020-10-23,18250,18350,17750,18000,154215,2761000000,24575454
030520,2020-10-26,17750,18000,17050,17150,348972,6073000000,24575454
030520,2020-10-27,16850,17900,16650,17350,204380,3563000000,24575454
030520,2020-10-28,17400,17750,17200,17700,80736,1413000000,24575454
030520,2020-10-29,17300,17650,17250,17650,99677,1734000000,24575454
030520,2020-10-30,17700,17700,17050,17100,144941,2505000000,24575454
030520,2020-11-02,17200,17350,16700,17000,110342,1881000000,24575454
030520,2020-11-03,17200,17250,16950,17100,181434,3095000000,24575454
030520,2020-11-04,17200,17250,16800,17050,248593,4219000000,24575454
030520,2020-11-05,17200,17450,17050,17350,189176,3270000000,24575454
030520,2020-11-06,17500,17600,16950,17300,162578,2798000000,24575454
030520,2020-11-09,17450,17500,17200,17400,183339,3183000000,24575454
030520,2020-11-10,17450,17450,17000,17250,171939,2947000000,24575454
030520,2020-11-11,17150,17350,17000,17100,200636,3421000000,24575454
030520,2020-11-12,17150,17500,17050,17500,230738,3989000000,24575454
030520,2020-11-13,18000,18000,17250,17500,333983,5855000000,24575454
030520,2020-11-16,17500,17500,17100,17150,243160,4201000000,24575454
030520,2020-11-17,17200,17400,17100,17100,134976,2324000000,24575454
030520,2020-11-18,17250,17400,17150,17300,135595,2345000000,24575454
030520,2020-11-19,17350,18150,17300,18000,486116,8685000000,24575454
030520,2020-11-20,17850,17850,17600,17700,184711,3269000000,24575454
030520,2020-11-23,17650,18100,17450,18100,273419,4851000000,24575454
030520,2020-11-24,18450,18500,18050,18100,294203,5366000000,24575454
030520,2020-11-25,18250,18300,17600,17700,287941,5136000000,24575454
030520,2020-11-26,17600,17850,17600,17700,123378,2182000000,24575454
030520,2020-11-27,17650,17900,17600,17800,114661,2034000000,24575454
030520,2020-11-30,17800,17800,17550,17550,145693,2570000000,24575454
030520,2020-12-01,17650,17800,17550,17650,108992,1923000000,24575454
030520,2020-12-02,17700,18100,17600,17900,310824,5542000000,24575454
030520,2020-12-03,17900,17900,17550,17550,170996,3015000000,24575454
030520,2020-12-04,17450,17600,17250,17550,201814,3513000000,24575454
030520,2020-12-07,17650,17650,17150,17250,188443,3255000000,24575454
030520,2020-12-08,17300,17350,16950,17050,181641,3100000000,24575454
030520,2020-12-09,16900,17050,16850,16900,205890,3485000000,24575454
030520,2020-12-10,16850,17200,16850,17000,168808,2865000000,24575454
030520,2020-12-11,17250,17450,17150,17350,165460,2862000000,24575454
030520,2020-12-14,17500,17700,17150,17650,242326,4245000000,24575454
030520,2020-12-15,17850,18100,17650,17950,313137,5604000000,24575454
030520,2020-12-16,17850,18600,17700,18500,566981,10375000000,24575454
030520,2020-12-17,18550,18750,18350,18500,408200,7580000000,24575454
030520,2020-12-18,18550,18650,18400,18550,190658,3529000000,24575454
030520,2020-12-21,18700,18750,18050,18050,262173,4794000000,24575454
030520,2020-12-22,18050,19200,18050,18150,520354,9651000000,24575454
030520,2020-12-23,18350,18600,18050,18300,287361,5274000000,24575454
030520,2020-12-24,18300,18700,18250,18550,309009,5716000000,24575454
030520,2020-12-28,18600,18750,18450,18600,274140,5099000000,24575454
030520,2020-12-29,18600,18800,18400,18700,199087,3699000000,24575454
030520,2020-12-30,18600,18850,18600,18850,213992,4004000000,24575454
030520,2021-01-04,18950,19000,18450,18550,314885,5847000000,24575454
030520,2021-01-05,18550,18650,18300,18500,244207,4495000000,24575454
030520,2021-01-06,18500,18950,18350,18450,320602,5947000000,24575454
030520,2021-01-07,18500,19100,18450,18700,528741,9918000000,24575454
030520,2021-01-08,18750,18850,18550,18700,394148,7357000000,24575454
030520,2021-01-11,18950,19250,18400,18850,846585,15988000000,24575454
030520,2021-01-12,18950,19500,18850,19300,617122,11809000000,24575454
030520,2021-01-13,19550,19750,18950,19000,397013,7629000000,24575454
030520,2021-01-14,19150,19150,18700,19000,243804,4604000000,24575454
030520,2021-01-15,19100,19100,18500,18650,327619,6135000000,24575454
030520,2021-01-18,18300,18650,18050,18250,327255,5978000000,24575454
030520,2021-01-19,18000,18400,17900,18100,260670,4736000000,24575454
030520,2021-01-20,18200,18400,18100,18250,173922,3167000000,24575454
030520,2021-01-21,18350,18650,18200,18550,187804,3470000000,24575454
