ticker,trade_date,short_vol,short_amt,lending_balance_amt
018290,2020-01-02,2225,20080000,9104000000
018290,2020-01-03,4057,36650000,9185000000
018290,2020-01-06,4195,37210000,8918000000
018290,2020-01-07,7945,71190000,9080000000
018290,2020-01-08,910,7940000,8857000000
018290,2020-01-09,1536,13750000,9144000000
018290,2020-01-10,18456,180870000,10360000000
018290,2020-01-13,50786,546580000,13659000000
018290,2020-01-14,16434,175400000,13921000000
018290,2020-01-15,16035,173160000,13278000000
018290,2020-01-16,7446,81690000,15019000000
018290,2020-01-17,8298,94830000,14637000000
018290,2020-01-20,8532,97720000,13684000000
018290,2020-01-21,8051,88500000,13842000000
018290,2020-01-22,12777,144720000,14675000000
018290,2020-01-23,6178,69180000,15103000000
018290,2020-01-28,67939,670700000,13890000000
018290,2020-01-29,0,0,14212000000
018290,2020-01-30,30814,307750000,14339000000
018290,2020-01-31,11038,108120000,14163000000
018290,2020-02-03,9416,90270000,14255000000
018290,2020-02-04,18673,182490000,14592000000
018290,2020-02-05,20347,203020000,14689000000
018290,2020-02-06,28391,285630000,15494000000
018290,2020-02-07,32186,320110000,15158000000
018290,2020-02-10,12255,120760000,15418000000
018290,2020-02-11,10483,105030000,15535000000
018290,2020-02-12,9322,93330000,15562000000
018290,2020-02-13,10660,106870000,15997000000
018290,2020-02-14,1585,15860000,15994000000
018290,2020-02-17,37756,385050000,16571000000
018290,2020-02-18,19257,193770000,16104000000
018290,2020-02-19,13003,128330000,20218000000
018290,2020-02-20,18611,181420000,20648000000
018290,2020-02-21,28883,290120000,21632000000
018290,2020-02-24,32784,326870000,21518000000
018290,2020-02-25,7703,77610000,21588000000
018290,2020-02-26,5337,52780000,20884000000
018290,2020-02-27,58804,577270000,20652000000
018290,2020-02-28,14989,141660000,19176000000
018290,2020-03-02,13833,122540000,19055000000
018290,2020-03-03,11404,104850000,19102000000
018290,2020-03-04,5435,50300000,20530000000
018290,2020-03-05,12002,117210000,20725000000
018290,2020-03-06,25305,250610000,20689000000
018290,2020-03-09,22131,211290000,20304000000
018290,2020-03-10,18897,179210000,20430000000
018290,2020-03-11,15500,149680000,20666000000
018290,2020-03-12,10548,95070000,19453000000
018290,2020-03-13,17590,140870000,18578000000
018290,2020-03-16,0,0,17225000000
018290,2020-03-17,0,0,16276000000
018290,2020-03-18,0,0,15524000000
018290,2020-03-19,0,0,14192000000
018290,2020-03-20,0,0,14718000000
018290,2020-03-23,0,0,14521000000
018290,2020-03-24,0,0,15635000000
018290,2020-03-25,0,0,17119000000
018290,2020-03-26,0,0,18170000000
018290,2020-03-27,0,0,15952000000
018290,2020-03-30,0,0,15821000000
018290,2020-03-31,0,0,16465000000
018290,2020-04-01,0,0,14196000000
018290,2020-04-02,0,0,14101000000
018290,2020-04-03,0,0,12778000000
018290,2020-04-06,0,0,13836000000
018290,2020-04-07,0,0,13509000000
018290,2020-04-08,0,0,13368000000
018290,2020-04-09,0,0,13867000000
018290,2020-04-10,0,0,13435000000
018290,2020-04-13,0,0,14923000000
018290,2020-04-14,0,0,15624000000
018290,2020-04-16,0,0,15920000000
018290,2020-04-17,0,0,16971000000
018290,2020-04-20,0,0,15472000000
018290,2020-04-21,0,0,16152000000
018290,2020-04-22,0,0,16823000000
018290,2020-04-23,0,0,17326000000
018290,2020-04-24,0,0,15622000000
018290,2020-04-27,0,0,15694000000
018290,2020-04-28,0,0,15839000000
018290,2020-04-29,0,0,15678000000
018290,2020-05-04,0,0,15311000000
018290,2020-05-06,0,0,14952000000
018290,2020-05-07,0,0,14677000000
018290,2020-05-08,0,0,15383000000
018290,2020-05-11,0,0,14819000000
018290,2020-05-12,0,0,14113000000
018290,2020-05-13,0,0,14946000000
018290,2020-05-14,0,0,14747000000
018290,2020-05-15,0,0,14673000000
018290,2020-05-18,0,0,15407000000
018290,2020-05-19,0,0,15480000000
018290,2020-05-20,0,0,15192000000
