"ticker","ticker_name","market_type","sector","listing_date"
"028670","팬오션","KOSPI","코스피 운송·창고","2007-09-21"
"022100","포스코DX","KOSPI","코스피 일반서비스","2024-01-02"
"047050","포스코인터내셔널","KOSPI","코스피 유통","2001-03-23"
"003670","포스코퓨처엠","KOSPI","코스피 전기·전자","2019-05-29"
"103140","풍산","KOSPI","코스피 금속","2008-07-30"
"086790","하나금융지주","KOSPI","코스피 금융","2005-12-12"
"352820","하이브","KOSPI","코스피 오락·문화","2020-10-15"
"000080","하이트진로","KOSPI","코스피 음식료·담배","2009-10-19"
"036460","한국가스공사","KOSPI","코스피 전기·가스","1999-12-15"
"071050","한국금융지주","KOSPI","코스피 금융","2003-07-21"
"000240","한국앤컴퍼니","KOSPI","코스피 금융","1968-12-27"
"015760","한국전력","KOSPI","코스피 전기·가스","1989-08-10"
"017960","한국카본","KOSPI","코스피 금속","1995-07-08"
"161890","한국콜마","KOSPI","코스피 화학","2012-10-19"
"161390","한국타이어앤테크놀로지","KOSPI","코스피 화학","2012-10-04"
"047810","한국항공우주","KOSPI","코스피 운송장비·부품","2011-06-30"
"042700","한미반도체","KOSPI","코스피 기계·장비","2005-07-22"
"008930","한미사이언스","KOSPI","코스피 금융","1988-06-20"
"128940","한미약품","KOSPI","코스피 제약","2010-07-30"
"009240","한샘","KOSPI","코스피 유통","2002-07-16"
"014680","한솔케미칼","KOSPI","코스피 화학","1989-05-20"
"018880","한온시스템","KOSPI","코스피 기계·장비","1996-07-31"
"009420","한올바이오파마","KOSPI","코스피 제약","1989-12-18"
"300720","한일시멘트","KOSPI","코스피 비금속","2018-08-06"
"051600","한전KPS","KOSPI","코스피 건설","2007-12-14"
"052690","한전기술","KOSPI","코스피 일반서비스","2009-12-14"
"180640","한진칼","KOSPI","코스피 금융","2013-09-16"
"000880","한화","KOSPI","코스피 화학","1976-06-24"
"088350","한화생명","KOSPI","코스피 보험","2010-03-17"
"009830","한화솔루션","KOSPI","코스피 화학","1974-06-19"
"272210","한화시스템","KOSPI","코스피 전기·전자","2019-11-13"
"012450","한화에어로스페이스","KOSPI","코스피 운송장비·부품","1987-05-27"
"082740","한화엔진","KOSPI","코스피 기계·장비","2011-01-04"
"042660","한화오션","KOSPI","코스피 운송장비·부품","2001-02-02"
"000720","현대건설","KOSPI","코스피 건설","1984-12-22"
"086280","현대글로비스","KOSPI","코스피 운송·창고","2005-12-26"
"064350","현대로템","KOSPI","코스피 운송장비·부품","2013-10-30"
"012330","현대모비스","KOSPI","코스피 운송장비·부품","1989-09-05"
"069960","현대백화점","KOSPI","코스피 유통","2002-11-25"
"017800","현대엘리베이터","KOSPI","코스피 기계·장비","1996-07-03"
"307950","현대오토에버","KOSPI","코스피 IT 서비스","2019-03-28"
"011210","현대위아","KOSPI","코스피 운송장비·부품","2011-02-21"
"004020","현대제철","KOSPI","코스피 금속","1987-05-23"
"005380","현대차","KOSPI","코스피 운송장비·부품","1974-06-28"
"001450","현대해상","KOSPI","코스피 보험","1989-08-25"
"008770","호텔신라","KOSPI","코스피 유통","1991-03-12"
"298040","효성중공업","KOSPI","코스피 전기·전자","2018-07-13"
"298020","효성티앤씨","KOSPI","코스피 화학","2018-07-13"
"093370","후성","KOSPI","코스피 화학","2006-12-22"
