ticker,event_date,event_type,description
009150,2020-01-10,실적발표,결산실적공시예고(안내공시)
009150,2020-01-29,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2020-01-29,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변경
009150,2020-01-29,배당락_배당결정,현금ㆍ현물배당결정
009150,2020-04-10,실적발표,결산실적공시예고(안내공시)
009150,2020-04-28,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2020-07-10,실적발표,결산실적공시예고(안내공시)
009150,2020-07-28,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2020-10-08,실적발표,결산실적공시예고(안내공시)
009150,2020-10-26,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2021-01-11,실적발표,결산실적공시예고(안내공시)
009150,2021-01-27,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2021-01-27,배당락_배당결정,현금ㆍ현물배당결정
009150,2021-01-27,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변경
009150,2021-04-12,실적발표,결산실적공시예고(안내공시)
009150,2021-04-28,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2021-07-12,실적발표,결산실적공시예고(안내공시)
009150,2021-07-28,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2021-10-12,실적발표,결산실적공시예고(안내공시)
009150,2021-10-27,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2022-01-10,실적발표,결산실적공시예고(안내공시)
009150,2022-01-26,배당락_배당결정,현금ㆍ현물배당결정
009150,2022-01-26,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2022-01-26,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변경
009150,2022-04-11,실적발표,결산실적공시예고(안내공시)
009150,2022-04-27,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2022-07-11,실적발표,결산실적공시예고(안내공시)
009150,2022-07-27,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2022-10-11,실적발표,결산실적공시예고(안내공시)
009150,2022-10-26,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2023-01-09,실적발표,결산실적공시예고(안내공시)
009150,2023-01-25,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2023-01-25,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변경
009150,2023-01-25,배당락_배당결정,현금ㆍ현물배당결정
009150,2023-04-10,실적발표,결산실적공시예고(안내공시)
009150,2023-04-26,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2023-07-10,실적발표,결산실적공시예고(안내공시)
009150,2023-07-26,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2023-10-12,실적발표,결산실적공시예고(안내공시)
009150,2023-10-26,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2024-01-10,실적발표,결산실적공시예고(안내공시)
009150,2024-01-31,배당락_배당결정,현금ㆍ현물배당결정
009150,2024-01-31,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변경
009150,2024-01-31,배당락_배당결정,[첨부정정]현금ㆍ현물배당결정
009150,2024-01-31,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
009150,2024-04-11,실적발표,결산실적공시예고(안내공시)              
009150,2024-04-29,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
009150,2024-07-10,실적발표,결산실적공시예고(안내공시)              
009150,2024-07-31,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
009150,2024-10-10,실적발표,결산실적공시예고(안내공시)              
009150,2024-10-29,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
009150,2025-01-09,실적발표,결산실적공시예고(안내공시)              
009150,2025-01-24,배당락_배당결정,현금ㆍ현물배당결정              
009150,2025-01-24,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
009150,2025-01-24,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변경              
009150,2025-04-10,실적발표,결산실적공시예고(안내공시)              
009150,2025-04-29,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
009150,2025-07-09,실적발표,결산실적공시예고(안내공시)              
009150,2025-07-31,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
009150,2025-10-14,실적발표,결산실적공시예고(안내공시)              
009150,2025-10-29,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
