ticker,event_date,event_type,description
268280,2020-02-27,배당락_배당결정,현금ㆍ현물배당결정
268280,2020-06-11,배당락_배당결정,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정
268280,2020-07-08,배당락_배당결정,현금ㆍ현물배당결정
268280,2021-02-24,배당락_배당결정,현금ㆍ현물배당결정
268280,2021-04-08,배당락_배당결정,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정
268280,2021-07-08,배당락_배당결정,현금ㆍ현물배당결정
268280,2022-01-26,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변경
268280,2022-02-24,배당락_배당결정,현금ㆍ현물배당결정
268280,2022-02-24,실적발표,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변경
268280,2022-06-07,배당락_배당결정,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정
268280,2022-07-14,배당락_배당결정,현금ㆍ현물배당결정
268280,2023-01-26,실적발표,영업(잠정)실적(공정공시)
268280,2023-02-16,배당락_배당결정,현금ㆍ현물배당결정
268280,2023-04-18,배당락_배당결정,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정
268280,2023-07-13,실적발표,영업(잠정)실적(공정공시)
268280,2023-07-13,배당락_배당결정,현금ㆍ현물배당결정
268280,2024-01-18,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변경
268280,2024-02-15,배당락_배당결정,현금ㆍ현물배당결정              
268280,2024-04-11,배당락_배당결정,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              
268280,2024-07-18,배당락_배당결정,현금ㆍ현물배당결정              
268280,2025-02-05,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변경              
268280,2025-02-27,배당락_배당결정,현금ㆍ현물배당결정              
268280,2025-04-11,배당락_배당결정,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              
268280,2025-07-10,배당락_배당결정,현금ㆍ현물배당결정              
