ticker,trade_date,fin_inv_net_amt,trust_net_amt,pension_net_amt,private_equity_net_amt,bank_net_amt,insurance_net_amt,etc_finance_net_amt,etc_corp_net_amt,etc_foreign_net_amt
145020,2020-01-02,-772000000,1000000,-76000000,-92000000,0,0,0,-3000000,0
145020,2020-01-03,-498000000,-289000000,0,-162000000,0,77000000,0,0,2000000
145020,2020-01-06,-325000000,-67000000,5000000,65000000,0,-235000000,0,1000000,4000000
145020,2020-01-07,160000000,883000000,-101000000,67000000,0,-157000000,0,-25000000,0
145020,2020-01-08,3000000,153000000,-51000000,-50000000,0,8000000,0,52000000,0
145020,2020-01-09,69000000,400000000,698000000,304000000,0,22000000,0,0,0
145020,2020-01-10,-656000000,506000000,-6000000,1410000000,0,-2000000,0,48000000,-3000000
145020,2020-01-13,197000000,1631000000,-84000000,959000000,0,11000000,0,0,-16000000
145020,2020-01-14,-293000000,691000000,-32000000,312000000,0,20000000,0,0,-21000000
145020,2020-01-15,-525000000,385000000,-4000000,-217000000,0,2000000,0,0,-2000000
145020,2020-01-16,251000000,1154000000,29000000,368000000,-10000000,0,0,-4000000,-49000000
145020,2020-01-17,-641000000,143000000,-7000000,1147000000,-10000000,-221000000,0,5000000,-2000000
145020,2020-01-20,-454000000,525000000,-13000000,75000000,233000000,-3000000,0,1000000,0
145020,2020-01-21,-710000000,124000000,18000000,113000000,10000000,-5000000,0,81000000,0
145020,2020-01-22,730000000,877000000,582000000,267000000,40000000,225000000,0,-31000000,-52000000
145020,2020-01-23,-793000000,-310000000,184000000,406000000,0,1000000,0,0,-2000000
145020,2020-01-28,-591000000,-82000000,-33000000,-310000000,-3000000,-349000000,0,7000000,0
145020,2020-01-29,404000000,1438000000,14000000,57000000,0,20000000,0,0,15000000
145020,2020-01-30,-354000000,366000000,44000000,176000000,0,92000000,0,0,2000000
145020,2020-01-31,696000000,1163000000,102000000,-1073000000,0,123000000,0,-133000000,-4000000
145020,2020-02-03,781000000,1682000000,6000000,150000000,0,120000000,0,0,6000000
145020,2020-02-04,-502000000,1998000000,-7000000,417000000,0,95000000,0,0,0
145020,2020-02-05,-118000000,765000000,-1000000,54000000,0,127000000,0,9000000,0
145020,2020-02-06,24000000,635000000,2000000,192000000,0,141000000,0,-41000000,-6000000
145020,2020-02-07,-611000000,393000000,66000000,-452000000,19000000,220000000,0,7000000,2000000
145020,2020-02-10,256000000,414000000,-11000000,10000000,0,97000000,0,0,0
145020,2020-02-11,170000000,426000000,23000000,-510000000,0,95000000,0,7000000,1000000
145020,2020-02-12,-62000000,-327000000,140000000,-1492000000,0,0,0,-71000000,0
145020,2020-02-13,-721000000,-10000000,-49000000,-405000000,0,-118000000,0,6000000,4000000
145020,2020-02-14,-309000000,191000000,0,-98000000,0,-292000000,0,54000000,-4000000
145020,2020-02-17,-157000000,3000000,-661000000,-670000000,0,-159000000,0,350000000,10000000
145020,2020-02-18,-529000000,130000000,-375000000,166000000,0,0,0,111000000,29000000
145020,2020-02-19,-320000000,623000000,48000000,427000000,0,68000000,0,28000000,-22000000
