ticker,trade_date,fin_inv_net_amt,trust_net_amt,pension_net_amt,private_equity_net_amt,bank_net_amt,insurance_net_amt,etc_finance_net_amt,etc_corp_net_amt,etc_foreign_net_amt
036930,2020-01-02,-236000000,0,-27000000,65000000,0,0,0,-26000000,4000000
036930,2020-01-03,-144000000,-47000000,0,-62000000,0,0,0,-51000000,-3000000
036930,2020-01-06,-108000000,-140000000,2000000,-5000000,0,0,-3000000,0,4000000
036930,2020-01-07,-18000000,3000000,-2000000,34000000,0,-4000000,0,0,1000000
036930,2020-01-08,-35000000,1000000,2000000,0,0,0,0,0,-4000000
036930,2020-01-09,397000000,106000000,-1000000,61000000,0,1000000,0,42000000,0
036930,2020-01-10,-32000000,42000000,-17000000,-20000000,0,0,0,0,0
036930,2020-01-13,24000000,-44000000,-3000000,0,0,1000000,0,-15000000,3000000
036930,2020-01-14,-146000000,-24000000,-11000000,-9000000,0,0,0,0,0
036930,2020-01-15,-53000000,0,-1000000,167000000,0,1000000,0,14000000,-1000000
036930,2020-01-16,196000000,41000000,10000000,0,0,0,0,-12000000,0
036930,2020-01-17,-94000000,13000000,-3000000,488000000,0,0,0,31000000,1000000
036930,2020-01-20,-152000000,-46000000,-4000000,-2000000,0,-2000000,0,9000000,16000000
036930,2020-01-21,-182000000,-576000000,5000000,176000000,0,-1000000,0,-19000000,19000000
036930,2020-01-22,-31000000,-680000000,8000000,-133000000,0,0,0,1000000,0
036930,2020-01-23,-511000000,-43000000,-4000000,-571000000,0,0,0,-74000000,-1000000
036930,2020-01-28,-235000000,-102000000,-11000000,0,0,0,0,-1000000,24000000
036930,2020-01-29,3000000,1000000,4000000,-393000000,0,-283000000,0,1000000,0
036930,2020-01-30,-103000000,8000000,5000000,0,0,0,0,-17000000,0
036930,2020-01-31,121000000,8000000,11000000,-7000000,0,0,0,304000000,0
036930,2020-02-03,264000000,0,1000000,106000000,0,0,0,130000000,0
036930,2020-02-04,-203000000,84000000,-2000000,-108000000,0,0,0,-269000000,0
036930,2020-02-05,-40000000,0,0,-42000000,0,0,0,149000000,7000000
036930,2020-02-06,-19000000,5000000,0,-76000000,0,0,0,-101000000,3000000
