ticker,trade_date,fin_inv_net_amt,trust_net_amt,pension_net_amt,private_equity_net_amt,bank_net_amt,insurance_net_amt,etc_finance_net_amt,etc_corp_net_amt,etc_foreign_net_amt
257720,2021-09-29,-6492000000,-2374000000,-73000000,-24826000000,-11000000,-123000000,-6906000000,-13197000000,225000000
257720,2021-09-30,-62000000,30000000,0,-910000000,0,0,-1000000,22000000,8000000
257720,2021-10-01,-53000000,-101000000,0,-325000000,0,0,0,15000000,7000000
257720,2021-10-05,-23000000,-25000000,0,0,0,0,0,4000000,-3000000
257720,2021-10-06,-31000000,-235000000,0,-33000000,0,-2000000,0,1000000,51000000
257720,2021-10-07,-31000000,0,0,1000000,0,0,0,23000000,17000000
257720,2021-10-08,-16000000,0,0,2000000,0,0,0,3000000,3000000
257720,2021-10-12,-9000000,0,0,42000000,0,0,0,3000000,2000000
257720,2021-10-13,-29000000,0,0,0,0,0,0,-20000000,0
257720,2021-10-14,42000000,199000000,0,0,0,0,0,-2000000,20000000
257720,2021-10-15,-20000000,0,0,-3000000,0,0,0,-2000000,-3000000
257720,2021-10-18,-15000000,0,0,0,0,0,0,3000000,0
257720,2021-10-19,-80000000,130000000,0,-44000000,0,0,0,67000000,22000000
257720,2021-10-20,-54000000,-341000000,0,0,0,0,0,18000000,20000000
257720,2021-10-21,-22000000,219000000,0,2000000,0,0,0,-51000000,-122000000
257720,2021-10-22,-506000000,-122000000,0,43000000,0,0,0,-31000000,3000000
257720,2021-10-25,-29000000,-89000000,0,0,0,0,0,9000000,-1000000
257720,2021-10-26,-13000000,0,0,0,0,0,0,-3000000,-10000000
257720,2021-10-27,-11000000,0,0,0,0,0,0,-2000000,-2000000
257720,2021-10-28,-42000000,0,0,128000000,0,0,0,-20000000,0
257720,2021-10-29,-67000000,0,0,-645000000,0,0,-44000000,-23000000,1000000
257720,2021-11-01,-40000000,2000000,0,0,0,0,0,19000000,0
257720,2021-11-02,-35000000,111000000,0,25000000,0,0,-1000000,-19000000,-4000000
257720,2021-11-03,-1000000,-6000000,0,1000000,0,0,0,0,0
257720,2021-11-04,-6000000,0,0,0,0,0,0,-3000000,-1000000
257720,2021-11-05,-58000000,0,0,0,0,0,0,3000000,-2000000
257720,2021-11-08,183000000,-27000000,0,-85000000,0,0,0,-1000000,-3000000
257720,2021-11-09,63000000,0,0,0,0,0,0,-2000000,0
257720,2021-11-10,90000000,0,0,0,0,0,0,6000000,0
257720,2021-11-11,42000000,-5000000,0,0,0,0,0,0,0
