ticker,trade_date,fin_inv_net_amt,trust_net_amt,pension_net_amt,private_equity_net_amt,bank_net_amt,insurance_net_amt,etc_finance_net_amt,etc_corp_net_amt,etc_foreign_net_amt
028260,2020-01-02,-7294000000,410000000,474000000,-1097000000,25000000,740000000,0,442000000,0
028260,2020-01-03,-6927000000,2746000000,82000000,-435000000,-7000000,-6000000,0,2802000000,10000000
028260,2020-01-06,-4931000000,1619000000,1638000000,388000000,0,359000000,849000000,-1214000000,5000000
028260,2020-01-07,-1655000000,1531000000,3889000000,-232000000,0,-147000000,-54000000,-448000000,0
028260,2020-01-08,-7396000000,352000000,3240000000,271000000,15000000,1146000000,7000000,808000000,0
028260,2020-01-09,-14748000000,401000000,-6900000000,348000000,-2000000,617000000,0,-231000000,0
028260,2020-01-10,-4639000000,1923000000,2848000000,1786000000,-19000000,665000000,23000000,-140000000,5000000
028260,2020-01-13,-459000000,1649000000,1847000000,3282000000,-96000000,323000000,0,-971000000,-93000000
028260,2020-01-14,-7219000000,-751000000,-3809000000,572000000,180000000,-700000000,0,64000000,22000000
028260,2020-01-15,-1743000000,-1414000000,-3495000000,144000000,-15000000,-699000000,-98000000,576000000,5000000
028260,2020-01-16,-3412000000,113000000,2154000000,457000000,-49000000,643000000,-37000000,231000000,-2000000
028260,2020-01-17,-3019000000,810000000,-659000000,348000000,30000000,288000000,310000000,5000000,12000000
028260,2020-01-20,547000000,4914000000,5028000000,4622000000,-589000000,3328000000,60000000,270000000,-30000000
028260,2020-01-21,-1723000000,1144000000,-242000000,1132000000,118000000,298000000,37000000,332000000,-19000000
028260,2020-01-22,1352000000,2361000000,2124000000,-25000000,115000000,1199000000,73000000,433000000,-50000000
028260,2020-01-23,-9515000000,10475000000,18550000000,-2854000000,112000000,6320000000,493000000,-711000000,23000000
028260,2020-01-28,-1588000000,219000000,6304000000,-2454000000,15000000,561000000,257000000,-5810000000,-23000000
028260,2020-01-29,-8447000000,1067000000,1002000000,-87000000,250000000,1352000000,27000000,137000000,11000000
028260,2020-01-30,-6607000000,-2005000000,723000000,-2262000000,-342000000,-338000000,0,846000000,95000000
028260,2020-01-31,-2324000000,356000000,2278000000,-1289000000,-23000000,960000000,19000000,-236000000,-32000000
028260,2020-02-03,279000000,1543000000,-2044000000,-426000000,20000000,162000000,-28000000,-269000000,32000000
028260,2020-02-04,-11019000000,940000000,1127000000,857000000,0,1447000000,-35000000,359000000,56000000
028260,2020-02-05,-10532000000,555000000,2563000000,-1558000000,0,475000000,2000000,866000000,14000000
028260,2020-02-06,4092000000,959000000,4332000000,-524000000,0,1643000000,-263000000,375000000,12000000
028260,2020-02-07,-4213000000,-312000000,-638000000,-2332000000,0,-490000000,-62000000,-783000000,0
028260,2020-02-10,-1090000000,-158000000,436000000,-371000000,51000000,1224000000,-114000000,137000000,35000000
028260,2020-02-11,1883000000,1038000000,1604000000,-1903000000,62000000,1411000000,0,-845000000,70000000
028260,2020-02-12,2512000000,-102000000,-158000000,97000000,121000000,-279000000,23000000,145000000,-4000000
028260,2020-02-13,1773000000,-3761000000,-5172000000,-1065000000,0,-558000000,-47000000,936000000,6000000
028260,2020-02-14,-3915000000,-585000000,-770000000,-92000000,0,564000000,-1505000000,-503000000,25000000
028260,2020-02-17,-1153000000,-1446000000,1975000000,-793000000,-57000000,83000000,0,-157000000,14000000
028260,2020-02-18,-7630000000,-2512000000,-1870000000,-1605000000,-54000000,-337000000,0,415000000,-61000000
028260,2020-02-19,782000000,-1421000000,-3983000000,124000000,-76000000,-74000000,-84000000,175000000,51000000
028260,2020-02-20,-7535000000,-1868000000,-921000000,-757000000,0,-629000000,21000000,104000000,113000000
028260,2020-02-21,-2764000000,-1271000000,-1096000000,-224000000,0,-253000000,0,340000000,-21000000
028260,2020-02-24,560000000,233000000,-69000000,-612000000,0,1075000000,33000000,-886000000,12000000
028260,2020-02-25,-2107000000,818000000,966000000,-1373000000,-38000000,770000000,27000000,-341000000,-12000000
028260,2020-02-26,-694000000,-418000000,-1532000000,49000000,251000000,388000000,107000000,22000000,71000000
028260,2020-02-27,-3197000000,-7374000000,-4211000000,180000000,19000000,-1033000000,0,-14000000,93000000
028260,2020-02-28,2762000000,-2223000000,-1878000000,746000000,5000000,505000000,-5410000000,69000000,-885000000
028260,2020-03-02,-1858000000,-830000000,-6874000000,-681000000,71000000,-141000000,88000000,172000000,15000000
028260,2020-03-03,-10712000000,279000000,-1125000000,189000000,29000000,-209000000,-6000000,-94000000,3000000
028260,2020-03-04,-1848000000,1088000000,1874000000,455000000,0,644000000,2052000000,222000000,29000000
028260,2020-03-05,-3008000000,-670000000,-2281000000,-330000000,196000000,-212000000,1009000000,-186000000,12000000
028260,2020-03-06,-6636000000,-501000000,2176000000,-455000000,51000000,-526000000,990000000,-1170000000,21000000
028260,2020-03-09,-5893000000,-385000000,3810000000,-342000000,-152000000,-446000000,144000000,1485000000,-12000000
028260,2020-03-10,7715000000,-2725000000,409000000,-2193000000,-245000000,551000000,158000000,-296000000,22000000
028260,2020-03-11,-4100000000,848000000,293000000,9000000,-63000000,-1599000000,-51000000,-78000000,2000000
028260,2020-03-12,8513000000,-3790000000,-1282000000,-1282000000,421000000,-1049000000,-623000000,151000000,4000000
028260,2020-03-13,-84000000,597000000,6518000000,486000000,27000000,933000000,110000000,590000000,47000000
028260,2020-03-16,-5758000000,677000000,1893000000,-1108000000,54000000,-637000000,-366000000,-21000000,-34000000
028260,2020-03-17,3612000000,287000000,821000000,-1029000000,29000000,-206000000,-729000000,-75000000,-4000000
028260,2020-03-18,-3907000000,-490000000,-2000000000,-1024000000,-130000000,627000000,-83000000,187000000,13000000
028260,2020-03-19,3054000000,-1518000000,4782000000,-1220000000,9000000,37000000,-106000000,-658000000,-29000000
028260,2020-03-20,1487000000,-186000000,2001000000,-544000000,-65000000,400000000,41000000,-1696000000,-157000000
028260,2020-03-23,-2325000000,-1128000000,8000000,-662000000,0,205000000,-234000000,390000000,9000000
028260,2020-03-24,713000000,2912000000,1183000000,-417000000,-870000000,172000000,81000000,71000000,-16000000
028260,2020-03-25,-1462000000,-2510000000,-147000000,-2023000000,-57000000,-352000000,-38000000,-450000000,-4000000
028260,2020-03-26,-3569000000,481000000,-811000000,-1900000000,367000000,-113000000,-2248000000,-1279000000,14000000
028260,2020-03-27,-65000000,346000000,1778000000,-62000000,34000000,205000000,42000000,-147000000,178000000
028260,2020-03-30,857000000,782000000,-2301000000,-235000000,79000000,393000000,30000000,368000000,13000000
028260,2020-03-31,-2164000000,1006000000,-243000000,656000000,120000000,268000000,83000000,89000000,42000000
