ticker,trade_date,individual_net_amt,foreign_net_amt,inst_net_amt,market_cap
0126Z0,2025-11-25,178587992000,-173157253500,-5430738500,8348246000000
0126Z0,2025-11-26,138919374000,-142661541000,3742167000,9032529000000
0126Z0,2025-11-27,54395489500,-56841724500,2446235000,10811663000000
0126Z0,2025-11-28,73458099000,-66467115000,-6990984000,10674807000000
0126Z0,2025-12-01,110921008000,-95927154000,-14993854000,9903434000000
0126Z0,2025-12-02,-10195614000,6831110000,3364504000,10998286000000
0126Z0,2025-12-03,19432953000,-73917909000,54484956000,13660767000000
0126Z0,2025-12-04,32365042000,-39936900000,7571858000,13859831000000
0126Z0,2025-12-05,55037020000,-47110140000,-7926880000,12814745000000
0126Z0,2025-12-08,34223810000,-19385115000,-14838695000,12814745000000
0126Z0,2025-12-09,-65026750000,52246225000,12780525000,14307725000000
0126Z0,2025-12-10,60687780000,-60558960000,-128820000,14058895000000
0126Z0,2025-12-11,-7752625000,-9138140000,16890765000,14158427000000
0126Z0,2025-12-12,-88363802000,98735553000,-10371751000,16447663000000
0126Z0,2025-12-15,-6111580000,-6931184000,13042764000,17642047000000
0126Z0,2025-12-16,39291720000,-46326280000,7034560000,17716696000000
0126Z0,2025-12-17,101200032000,-75355236000,-25844796000,16572078000000
0126Z0,2025-12-18,-20554360000,22941160000,-2386800000,16920440000000
0126Z0,2025-12-19,36562744000,-26887696000,-9675048000,16746259000000
0126Z0,2025-12-22,-1005771000,23687001000,-22681230000,16497429000000
0126Z0,2025-12-23,-26225396000,28997048000,-2771652000,16223716000000
0126Z0,2025-12-24,-146740000,12115620000,-11968880000,15875354000000
0126Z0,2025-12-26,-53662880000,54329280000,-666400000,16920440000000
0126Z0,2025-12-29,-54183480000,37857492000,16325988000,18388537000000
0126Z0,2025-12-30,34592594000,-34573276000,-19318000,18488069000000
