sector_code,trade_date,open_price,high_price,low_price,close_price,volume,trading_value,change_rate
002,2020-01-02,2177.139892578125,2178.47998046875,2145.43994140625,2147.360107421875,53379200,2832593000000,-1.21
002,2020-01-03,2166.75,2179.18994140625,2137.320068359375,2149.10009765625,62356600,3374272000000,0.08
002,2020-01-06,2127.3798828125,2138.9599609375,2126.0400390625,2131.39990234375,52235600,2648216000000,-0.82
002,2020-01-07,2143.070068359375,2159.2099609375,2140.489990234375,2152.919921875,51293700,2798476000000,1.01
002,2020-01-08,2133.860107421875,2147.360107421875,2122.280029296875,2136.489990234375,95907000,5070706000000,-0.76
002,2020-01-09,2167.639892578125,2170.449951171875,2154.93994140625,2170.449951171875,91336200,4859269000000,1.59
002,2020-01-10,2173.3701171875,2190.820068359375,2170.47998046875,2190.2099609375,70461300,3843530000000,0.91
002,2020-01-13,2187.530029296875,2214.590087890625,2187.530029296875,2213.449951171875,63355200,3437196000000,1.06
002,2020-01-14,2227.89990234375,2237.449951171875,2217.889892578125,2223.800048828125,73409800,4117709000000,0.47
002,2020-01-15,2212.60009765625,2220.909912109375,2204.909912109375,2211.5400390625,54836500,3088953000000,-0.55
002,2020-01-16,2212.25,2232.4599609375,2204.3798828125,2231.27001953125,59000300,3444845000000,0.89
002,2020-01-17,2246.320068359375,2254.06005859375,2229.260009765625,2235.340087890625,63594100,3352030000000,0.18
002,2020-01-20,2247.06005859375,2265.3798828125,2246.0400390625,2251.27001953125,61985200,3583973000000,0.71
002,2020-01-21,2247.0400390625,2254.419921875,2225.330078125,2226.800048828125,47935300,2935651000000,-1.09
002,2020-01-22,2225.110107421875,2258.010009765625,2221.050048828125,2255.320068359375,56532300,3633607000000,1.28
002,2020-01-23,2240.949951171875,2248.39990234375,2227.510009765625,2231.81005859375,64783800,4149953000000,-1.04
002,2020-01-28,2178.81005859375,2187.56005859375,2152.77001953125,2162.090087890625,94411800,5414308000000,-3.12
002,2020-01-29,2173.530029296875,2182.1298828125,2158.8798828125,2171.320068359375,65099500,4010200000000,0.43
002,2020-01-30,2166.280029296875,2172.030029296875,2125.110107421875,2133.760009765625,80495400,4515972000000,-1.73
002,2020-01-31,2147.139892578125,2154.469970703125,2105.449951171875,2105.449951171875,80310000,4482413000000,-1.33
002,2020-02-03,2073.080078125,2115.31005859375,2070.159912109375,2106.3798828125,87477200,4792415000000,0.04
002,2020-02-04,2107.77001953125,2151.909912109375,2107.1298828125,2147.139892578125,86397200,4989562000000,1.94
002,2020-02-05,2167.7900390625,2172.510009765625,2144.179931640625,2155.860107421875,79939100,4796733000000,0.41
002,2020-02-06,2176.22998046875,2224.0,2173.330078125,2221.889892578125,82975100,4962772000000,3.06
002,2020-02-07,2214.010009765625,2216.7900390625,2189.570068359375,2205.169921875,85542100,5637414000000,-0.75
002,2020-02-10,2176.030029296875,2196.219970703125,2171.1201171875,2192.860107421875,57461300,3207374000000,-0.56
002,2020-02-11,2205.31005859375,2227.949951171875,2202.739990234375,2215.139892578125,59990800,3973587000000,1.02
002,2020-02-12,2218.669921875,2236.2900390625,2206.7099609375,2231.68994140625,72379200,4059273000000,0.75
002,2020-02-13,2240.39990234375,2251.8798828125,2224.18994140625,2227.199951171875,85896200,5187555000000,-0.2
002,2020-02-14,2226.5400390625,2249.260009765625,2214.6298828125,2240.330078125,59889600,3536831000000,0.59
002,2020-02-17,2239.239990234375,2247.830078125,2226.22998046875,2238.300048828125,50794200,3088323000000,-0.09
002,2020-02-18,2220.1201171875,2228.43994140625,2199.85009765625,2203.31005859375,64211800,3691835000000,-1.56
002,2020-02-19,2217.81005859375,2221.300048828125,2186.4599609375,2205.9599609375,62146400,3914940000000,0.12
002,2020-02-20,2220.2099609375,2225.60009765625,2182.3701171875,2192.570068359375,68232200,4050710000000,-0.61
002,2020-02-21,2160.06005859375,2181.989990234375,2157.77001953125,2160.93994140625,72707500,3833887000000,-1.44
002,2020-02-24,2109.889892578125,2117.2099609375,2076.530029296875,2076.530029296875,103677500,5564284000000,-3.91
002,2020-02-25,2072.469970703125,2103.1298828125,2067.820068359375,2099.760009765625,94794400,5319346000000,1.12
002,2020-02-26,2057.8798828125,2083.72998046875,2052.43994140625,2069.330078125,98302200,5163436000000,-1.45
002,2020-02-27,2066.14990234375,2077.320068359375,2041.489990234375,2048.22998046875,87245000,4626167000000,-1.02
002,2020-02-28,2013.030029296875,2024.5799560546875,1975.1600341796875,1980.75,148048400,6829791000000,-3.29
002,2020-03-02,1991.25,2012.77001953125,1963.1199951171875,1995.47998046875,106543200,5506481000000,0.74
002,2020-03-03,2047.3199462890625,2047.3199462890625,2000.3399658203125,2005.5,97209500,5345221000000,0.5
