ticker,trade_date,eps,bps,per,pbr
352820,2020-10-15,2951,6113,87.43,42.21
352820,2020-10-16,2951,6113,67.94,32.8
352820,2020-10-19,2951,6113,64.05,30.92
352820,2020-10-20,2951,6113,61.84,29.85
352820,2020-10-21,2951,6113,60.66,29.28
352820,2020-10-22,2951,6113,61.0,29.45
352820,2020-10-23,2951,6113,58.45,28.22
352820,2020-10-26,2951,6113,52.86,25.52
352820,2020-10-27,2951,6113,55.07,26.58
352820,2020-10-28,2951,6113,53.71,25.93
352820,2020-10-29,2951,6113,53.2,25.68
352820,2020-10-30,2951,6113,48.12,23.23
352820,2020-11-02,2951,6113,48.63,23.47
352820,2020-11-03,2951,6113,51.51,24.87
352820,2020-11-04,2951,6113,50.49,24.37
352820,2020-11-05,2951,6113,55.57,26.83
352820,2020-11-06,2951,6113,54.9,26.5
352820,2020-11-09,2951,6113,55.24,26.66
352820,2020-11-10,2951,6113,56.93,27.48
352820,2020-11-11,2951,6113,55.57,26.83
352820,2020-11-12,2951,6113,53.37,25.76
352820,2020-11-13,2951,6113,54.22,26.17
352820,2020-11-16,2951,6113,58.12,28.05
352820,2020-11-17,2951,6113,60.83,29.36
352820,2020-11-18,2951,6113,61.5,29.69
352820,2020-11-19,2951,6113,61.0,29.45
352820,2020-11-20,2951,6113,62.52,30.18
352820,2020-11-23,2951,6113,61.0,29.45
352820,2020-11-24,2951,6113,61.34,29.61
352820,2020-11-25,2951,6113,58.96,28.46
352820,2020-11-26,2951,6113,59.64,28.79
352820,2020-11-27,2951,6113,60.32,29.12
352820,2020-11-30,2951,6113,60.83,29.36
352820,2020-12-01,2951,6113,61.34,29.61
352820,2020-12-02,2951,6113,61.67,29.77
352820,2020-12-03,2951,6113,64.22,31.0
352820,2020-12-04,2951,6113,63.54,30.67
352820,2020-12-07,2951,6113,61.17,29.53
352820,2020-12-08,2951,6113,61.67,29.77
352820,2020-12-09,2951,6113,61.0,29.45
352820,2020-12-10,2951,6113,61.5,29.69
352820,2020-12-11,2951,6113,61.17,29.53
352820,2020-12-14,2951,6113,59.47,28.71
352820,2020-12-15,2951,6113,58.29,28.14
352820,2020-12-16,2951,6113,58.62,28.3
352820,2020-12-17,2951,6113,54.73,26.42
352820,2020-12-18,2951,6113,54.9,26.5
352820,2020-12-21,2951,6113,53.71,25.93
352820,2020-12-22,2951,6113,52.36,25.27
352820,2020-12-23,2951,6113,51.85,25.03
352820,2020-12-24,2951,6113,53.54,25.85
352820,2020-12-28,2951,6113,53.03,25.6
352820,2020-12-29,2951,6113,53.71,25.93
352820,2020-12-30,2951,6113,54.22,26.17
352820,2021-01-04,2951,6113,53.54,25.85
352820,2021-01-05,2951,6113,53.71,25.93
352820,2021-01-06,2951,6113,53.71,25.93
352820,2021-01-07,2951,6113,53.2,25.68
352820,2021-01-08,2951,6113,54.39,26.26
352820,2021-01-11,2951,6113,52.36,25.27
352820,2021-01-12,2951,6113,52.02,25.11
352820,2021-01-13,2951,6113,57.1,27.56
352820,2021-01-14,2951,6113,56.25,27.16
352820,2021-01-15,2951,6113,53.2,25.68
352820,2021-01-18,2951,6113,56.08,27.07
352820,2021-01-19,2951,6113,58.79,28.38
352820,2021-01-20,2951,6113,59.64,28.79
352820,2021-01-21,2951,6113,58.62,28.3
