ticker,trade_date,short_vol,short_amt,lending_balance_amt
079550,2020-01-02,791,25210000,27419000000
079550,2020-01-03,4045,130260000,28072000000
079550,2020-01-06,5147,173960000,29127000000
079550,2020-01-07,7762,254080000,26771000000
079550,2020-01-08,46338,1536610000,28464000000
079550,2020-01-09,10917,345060000,31381000000
079550,2020-01-10,14995,465580000,29518000000
079550,2020-01-13,5993,183370000,28657000000
079550,2020-01-14,7697,234210000,27613000000
079550,2020-01-15,13289,398160000,27006000000
079550,2020-01-16,6307,189450000,22549000000
079550,2020-01-17,9478,282520000,22169000000
079550,2020-01-20,12135,356200000,21115000000
079550,2020-01-21,10758,317800000,21160000000
079550,2020-01-22,7839,235150000,21341000000
079550,2020-01-23,7597,228070000,19836000000
079550,2020-01-28,11686,339500000,19241000000
079550,2020-01-29,5120,149040000,20119000000
079550,2020-01-30,8704,250960000,18738000000
079550,2020-01-31,6681,190950000,18091000000
079550,2020-02-03,11505,319760000,18741000000
079550,2020-02-04,12612,354200000,18842000000
079550,2020-02-05,15483,434580000,19342000000
079550,2020-02-06,11241,325820000,20144000000
079550,2020-02-07,10247,299720000,20177000000
079550,2020-02-10,8443,248530000,20256000000
079550,2020-02-11,1968,57930000,20074000000
079550,2020-02-12,23360,669670000,20104000000
079550,2020-02-13,9861,282370000,20479000000
079550,2020-02-14,6684,191080000,20513000000
079550,2020-02-17,3682,103940000,19787000000
079550,2020-02-18,14645,404020000,19409000000
079550,2020-02-19,10058,276270000,19803000000
079550,2020-02-20,14159,400190000,20365000000
079550,2020-02-21,13740,386200000,20305000000
079550,2020-02-24,18672,509070000,19730000000
079550,2020-02-25,7949,215650000,20190000000
079550,2020-02-26,9249,249940000,20499000000
079550,2020-02-27,8473,230390000,20728000000
079550,2020-02-28,18952,501030000,20365000000
079550,2020-03-02,11293,294720000,21176000000
079550,2020-03-03,22487,593870000,22682000000
079550,2020-03-04,8956,238550000,23408000000
079550,2020-03-05,6331,170030000,23974000000
079550,2020-03-06,22744,605420000,23956000000
079550,2020-03-09,33458,850150000,24640000000
079550,2020-03-10,9970,251320000,25129000000
079550,2020-03-11,13537,338390000,25383000000
079550,2020-03-12,13146,307350000,24147000000
079550,2020-03-13,19293,403370000,23194000000
079550,2020-03-16,5865,127390000,23187000000
079550,2020-03-17,237,4850000,22264000000
079550,2020-03-18,0,0,20150000000
079550,2020-03-19,205,3960000,16429000000
079550,2020-03-20,278,4550000,16613000000
079550,2020-03-23,36,580000,15335000000
079550,2020-03-24,127,2240000,16068000000
079550,2020-03-25,158,2960000,18205000000
079550,2020-03-26,58,1080000,15520000000
079550,2020-03-27,151,2900000,15901000000
079550,2020-03-30,78,1480000,15790000000
079550,2020-03-31,13,250000,15926000000
079550,2020-04-01,0,0,16005000000
079550,2020-04-02,0,0,16052000000
079550,2020-04-03,0,0,15988000000
079550,2020-04-06,18,360000,16659000000
079550,2020-04-07,0,0,17866000000
079550,2020-04-08,0,0,19113000000
079550,2020-04-09,1,20000,19455000000
079550,2020-04-10,0,0,19588000000
079550,2020-04-13,1,20000,18466000000
079550,2020-04-14,0,0,18900000000
079550,2020-04-16,0,0,18716000000
079550,2020-04-17,74,1720000,18680000000
079550,2020-04-20,139,3220000,17595000000
079550,2020-04-21,23,540000,17757000000
079550,2020-04-22,212,4950000,16788000000
079550,2020-04-23,9,210000,16644000000
079550,2020-04-24,7,180000,17945000000
079550,2020-04-27,7,180000,17817000000
079550,2020-04-28,15,390000,18025000000
079550,2020-04-29,27,700000,17616000000
079550,2020-05-04,248,6020000,16177000000
079550,2020-05-06,119,2870000,16143000000
079550,2020-05-07,221,5280000,16111000000
079550,2020-05-08,159,3820000,16093000000
079550,2020-05-11,0,0,16499000000
079550,2020-05-12,0,0,16475000000
079550,2020-05-13,0,0,17877000000
079550,2020-05-14,580,14890000,18501000000
079550,2020-05-15,200,5340000,18928000000
079550,2020-05-18,1225,34560000,19903000000
079550,2020-05-19,200,5580000,19791000000
079550,2020-05-20,308,8820000,20328000000
079550,2020-05-21,968,29510000,21593000000
079550,2020-05-22,1308,40970000,21941000000
079550,2020-05-25,1719,54860000,22210000000
079550,2020-05-26,268,8650000,22343000000
079550,2020-05-27,1615,55960000,23984000000
079550,2020-05-28,2702,97410000,24137000000
079550,2020-05-29,144,5180000,24500000000
079550,2020-06-01,41,1410000,23384000000
079550,2020-06-02,32,1100000,23049000000
079550,2020-06-03,241,8100000,21691000000
079550,2020-06-04,228,7760000,20897000000
079550,2020-06-05,155,5280000,20493000000
079550,2020-06-08,88,2970000,19541000000
079550,2020-06-09,166,5640000,19509000000
079550,2020-06-10,227,7690000,19465000000
079550,2020-06-11,166,5480000,18286000000
079550,2020-06-12,113,3700000,18183000000
079550,2020-06-15,0,0,18945000000
079550,2020-06-16,6,200000,19144000000
079550,2020-06-17,856,31070000,20401000000
079550,2020-06-18,1289,46030000,20862000000
079550,2020-06-19,184,6270000,19781000000
079550,2020-06-22,160,5240000,19176000000
079550,2020-06-23,44,1450000,20016000000
079550,2020-06-24,0,0,19507000000
079550,2020-06-25,5,150000,18580000000
079550,2020-06-26,6,180000,18929000000
079550,2020-06-29,7,210000,19079000000
079550,2020-06-30,336,10100000,17738000000
079550,2020-07-01,33,980000,17500000000
079550,2020-07-02,14,420000,17673000000
079550,2020-07-03,57,1710000,17633000000
079550,2020-07-06,8,240000,18136000000
079550,2020-07-07,8,240000,17946000000
079550,2020-07-08,122,3620000,17611000000
079550,2020-07-09,2,60000,17503000000
079550,2020-07-10,2022,57870000,16758000000
079550,2020-07-13,1028,29700000,17074000000
079550,2020-07-14,114,3270000,17187000000
079550,2020-07-15,20,630000,18516000000
079550,2020-07-16,51,1580000,18426000000
079550,2020-07-17,636,19810000,18480000000
079550,2020-07-20,603,18910000,18610000000
079550,2020-07-21,343,10980000,18928000000
079550,2020-07-22,116,3710000,18913000000
079550,2020-07-23,450,14450000,18913000000
079550,2020-07-24,7,230000,18936000000
079550,2020-07-27,100,3260000,19823000000
079550,2020-07-28,520,17570000,19613000000
