ticker,trade_date,short_vol,short_amt,lending_balance_amt
090430,2020-01-02,28210,5690880000,820047000000
090430,2020-01-03,40020,8326280000,839832000000
090430,2020-01-06,33060,6862700000,846268000000
090430,2020-01-07,95452,20989650000,941130000000
090430,2020-01-08,94071,20209300000,882742000000
090430,2020-01-09,55055,11774630000,874500000000
090430,2020-01-10,57531,12543050000,903004000000
090430,2020-01-13,113213,26071190000,959974000000
090430,2020-01-14,44407,10360350000,965302000000
090430,2020-01-15,36060,8437020000,954111000000
090430,2020-01-16,101170,23765130000,971162000000
090430,2020-01-17,28581,6749150000,968080000000
090430,2020-01-20,62052,14029060000,957218000000
090430,2020-01-21,52606,11566760000,939654000000
090430,2020-01-22,93700,20574180000,974390000000
090430,2020-01-23,91317,19463290000,929591000000
090430,2020-01-28,119721,23240540000,892660000000
090430,2020-01-29,194262,38677030000,982811000000
090430,2020-01-30,149311,29004350000,945610000000
090430,2020-01-31,93736,17848750000,921871000000
090430,2020-02-03,93265,17594380000,944613000000
090430,2020-02-04,153650,30074560000,979127000000
090430,2020-02-05,309481,57946310000,922722000000
090430,2020-02-06,182321,32900130000,987353000000
090430,2020-02-07,67712,12131660000,929255000000
090430,2020-02-10,135015,24224710000,924739000000
090430,2020-02-11,112955,20780540000,921879000000
090430,2020-02-12,138139,25786700000,1004969000000
090430,2020-02-13,101873,19434390000,975278000000
090430,2020-02-14,27381,5204710000,990291000000
090430,2020-02-17,124987,24337490000,1035336000000
090430,2020-02-18,61707,11774060000,1000954000000
090430,2020-02-19,53439,10014280000,975086000000
090430,2020-02-20,174009,32028000000,963417000000
090430,2020-02-21,78632,14287380000,977584000000
090430,2020-02-24,153843,26862870000,950834000000
090430,2020-02-25,194156,33883370000,964437000000
090430,2020-02-26,77088,13252830000,1025292000000
090430,2020-02-27,78706,13211070000,1017051000000
090430,2020-02-28,197692,31920710000,990063000000
090430,2020-03-02,21541,3587730000,1019296000000
090430,2020-03-03,38602,6456770000,993399000000
090430,2020-03-04,35305,5928460000,1009660000000
090430,2020-03-05,54787,9378630000,1047401000000
090430,2020-03-06,55384,9312320000,1022924000000
090430,2020-03-09,68251,11174760000,955187000000
090430,2020-03-10,101862,16739720000,990037000000
090430,2020-03-11,84179,13607260000,946989000000
090430,2020-03-12,150194,23183560000,918959000000
090430,2020-03-13,154453,23214750000,946906000000
090430,2020-03-16,20978,3208490000,874454000000
090430,2020-03-17,2624,386530000,932224000000
090430,2020-03-18,28339,4719390000,917433000000
090430,2020-03-19,4113,665420000,894232000000
090430,2020-03-20,2803,460460000,836055000000
090430,2020-03-23,2619,413050000,777424000000
090430,2020-03-24,2560,429910000,830842000000
090430,2020-03-25,2004,357240000,855164000000
090430,2020-03-26,1690,302990000,850418000000
090430,2020-03-27,2282,414400000,788365000000
090430,2020-03-30,1785,295330000,756419000000
090430,2020-03-31,1893,318650000,744910000000
090430,2020-04-01,2173,358210000,696534000000
090430,2020-04-02,2070,330200000,711474000000
090430,2020-04-03,950,152210000,700818000000
090430,2020-04-06,1655,275510000,730706000000
090430,2020-04-07,1634,274560000,739827000000
090430,2020-04-08,1641,283300000,745259000000
090430,2020-04-09,1359,233370000,738109000000
090430,2020-04-10,1098,186440000,762665000000
090430,2020-04-13,2237,385060000,764658000000
090430,2020-04-14,1430,246280000,782324000000
090430,2020-04-16,948,162670000,779785000000
090430,2020-04-17,3642,660530000,785298000000
090430,2020-04-20,1890,337410000,761314000000
090430,2020-04-21,2534,439690000,743521000000
090430,2020-04-22,1108,189520000,754536000000
090430,2020-04-23,1893,332540000,761189000000
090430,2020-04-24,2444,421660000,736823000000
090430,2020-04-27,1891,324640000,748023000000
090430,2020-04-28,5479,961780000,756121000000
090430,2020-04-29,1980,349500000,756556000000
090430,2020-05-04,2001,355270000,730592000000
090430,2020-05-06,1863,333190000,734918000000
090430,2020-05-07,2578,461390000,732692000000
090430,2020-05-08,4685,851000000,740614000000
090430,2020-05-11,3015,536800000,721797000000
090430,2020-05-12,3635,626950000,710169000000
090430,2020-05-13,985,169870000,721141000000
090430,2020-05-14,1156,201200000,721401000000
090430,2020-05-15,1252,215490000,695194000000
090430,2020-05-18,1081,184490000,701295000000
090430,2020-05-19,1949,344430000,722830000000
090430,2020-05-20,3458,606990000,708842000000
090430,2020-05-21,1001,175400000,741031000000
090430,2020-05-22,3518,603440000,717278000000
090430,2020-05-25,1863,313300000,712253000000
090430,2020-05-26,789,132910000,701516000000
090430,2020-05-27,989,166460000,710622000000
090430,2020-05-28,1926,322050000,704198000000
090430,2020-05-29,1437,235200000,688291000000
090430,2020-06-01,1487,245760000,699522000000
090430,2020-06-02,458,76090000,691771000000
090430,2020-06-03,448,75710000,710678000000
090430,2020-06-04,25,4300000,724448000000
090430,2020-06-05,30,5220000,728429000000
090430,2020-06-08,87,15520000,743596000000
090430,2020-06-09,34,5990000,726543000000
090430,2020-06-10,20,3490000,677532000000
090430,2020-06-11,936,161050000,663956000000
090430,2020-06-12,1733,291380000,645287000000
090430,2020-06-15,2745,447300000,618552000000
090430,2020-06-16,1948,322850000,649822000000
090430,2020-06-17,3395,545910000,627166000000
090430,2020-06-18,920,148260000,613267000000
090430,2020-06-19,1074,173050000,612209000000
