ticker,trade_date,short_vol,short_amt,lending_balance_amt
010140,2020-01-02,409583,2793910000,346701000000
010140,2020-01-03,136971,939020000,346417000000
010140,2020-01-06,141985,963710000,342547000000
010140,2020-01-07,138297,938410000,339185000000
010140,2020-01-08,237621,1564790000,325682000000
010140,2020-01-09,200629,1345800000,346937000000
010140,2020-01-10,76119,526420000,360091000000
010140,2020-01-13,74979,528040000,353912000000
010140,2020-01-14,331950,2332470000,351480000000
010140,2020-01-15,325365,2293390000,357256000000
010140,2020-01-16,205821,1446430000,346216000000
010140,2020-01-17,174139,1229780000,348386000000
010140,2020-01-20,99775,696540000,346547000000
010140,2020-01-21,234944,1618170000,337036000000
010140,2020-01-22,88609,611080000,339245000000
010140,2020-01-23,275133,1865130000,330449000000
010140,2020-01-28,1002473,6509930000,318946000000
010140,2020-01-29,472601,3070640000,322186000000
010140,2020-01-30,470848,3029910000,319165000000
010140,2020-01-31,433891,2772200000,313429000000
010140,2020-02-03,762982,4701320000,319705000000
010140,2020-02-04,1444451,8876230000,319757000000
010140,2020-02-05,1014231,6193690000,328334000000
010140,2020-02-06,1038616,6610780000,357051000000
010140,2020-02-07,756937,4791680000,353935000000
010140,2020-02-10,439181,2766970000,356317000000
010140,2020-02-11,195133,1243940000,357998000000
010140,2020-02-12,401404,2572310000,363437000000
010140,2020-02-13,454654,2882580000,356088000000
010140,2020-02-14,254603,1603580000,355044000000
010140,2020-02-17,247119,1553080000,355128000000
010140,2020-02-18,197710,1241580000,355801000000
010140,2020-02-19,327596,2039940000,354580000000
010140,2020-02-20,431682,2684210000,354848000000
010140,2020-02-21,317073,1926810000,348253000000
010140,2020-02-24,740332,4263900000,331259000000
010140,2020-02-25,680135,3935360000,343367000000
010140,2020-02-26,412179,2395990000,346409000000
010140,2020-02-27,503451,2898490000,345568000000
010140,2020-02-28,430063,2379410000,334838000000
010140,2020-03-02,275126,1528900000,341765000000
010140,2020-03-03,456473,2572940000,343980000000
010140,2020-03-04,880373,4977200000,346090000000
010140,2020-03-05,476321,2761640000,353698000000
010140,2020-03-06,478836,2745590000,351338000000
010140,2020-03-09,3569904,18674210000,322811000000
010140,2020-03-10,118924,611080000,340686000000
010140,2020-03-11,384709,1991450000,348231000000
010140,2020-03-12,1520070,7247490000,317667000000
010140,2020-03-13,3443674,13941940000,277235000000
010140,2020-03-16,246035,1004910000,268457000000
010140,2020-03-17,4940,18430000,267991000000
010140,2020-03-18,0,0,248855000000
010140,2020-03-19,4175,13550000,213363000000
010140,2020-03-20,1208,3970000,220970000000
010140,2020-03-23,0,0,194789000000
010140,2020-03-24,2110,6730000,210367000000
010140,2020-03-25,550,1890000,230028000000
010140,2020-03-26,42,150000,232006000000
010140,2020-03-27,168,610000,211626000000
010140,2020-03-30,278,940000,212636000000
010140,2020-03-31,17543,64560000,219015000000
010140,2020-04-01,0,0,215138000000
010140,2020-04-02,0,0,226704000000
010140,2020-04-03,0,0,227257000000
010140,2020-04-06,84,330000,237311000000
010140,2020-04-07,42,170000,239388000000
010140,2020-04-08,42,170000,234853000000
010140,2020-04-09,2195,8870000,243234000000
010140,2020-04-10,3593,15270000,249846000000
010140,2020-04-13,1538,6220000,237439000000
010140,2020-04-14,1055,4380000,238763000000
010140,2020-04-16,2273,9160000,234209000000
010140,2020-04-17,1667,6820000,238869000000
010140,2020-04-20,4069,16620000,237934000000
010140,2020-04-21,3413,13470000,227256000000
010140,2020-04-22,54037,211830000,226939000000
010140,2020-04-23,60821,246020000,228957000000
010140,2020-04-24,49709,196690000,224737000000
010140,2020-04-27,13039,52140000,226113000000
010140,2020-04-28,26811,103740000,221990000000
010140,2020-04-29,10537,42400000,231342000000
010140,2020-05-04,768,3030000,228561000000
010140,2020-05-06,4834,19460000,232273000000
010140,2020-05-07,3350,13460000,231322000000
010140,2020-05-08,5941,23900000,231788000000
010140,2020-05-11,3294,13090000,227789000000
010140,2020-05-12,43031,166900000,221006000000
010140,2020-05-13,32151,122560000,224260000000
010140,2020-05-14,108892,415040000,226627000000
010140,2020-05-15,4248,16480000,228061000000
010140,2020-05-18,11890,45460000,224595000000
