ticker,trade_date,short_vol,short_amt,lending_balance_amt
302440,2021-03-19,1310,236120000,516000000
302440,2021-03-22,358,52360000,463000000
302440,2021-03-23,13,1820000,452000000
302440,2021-03-24,37,5050000,622000000
302440,2021-03-25,2,270000,645000000
302440,2021-03-26,0,0,428000000
302440,2021-03-29,225,27950000,397000000
302440,2021-03-30,120,15180000,479000000
302440,2021-03-31,385,46390000,489000000
302440,2021-04-01,0,0,420000000
302440,2021-04-02,664,78980000,434000000
302440,2021-04-05,193,22770000,504000000
302440,2021-04-06,82,9470000,503000000
302440,2021-04-07,24,2750000,501000000
302440,2021-04-08,130,16320000,549000000
302440,2021-04-09,11,1440000,505000000
302440,2021-04-12,173,22530000,542000000
302440,2021-04-13,20,2750000,568000000
302440,2021-04-14,0,0,616000000
302440,2021-04-15,39,5090000,596000000
302440,2021-04-16,1,130000,605000000
302440,2021-04-19,40,5620000,644000000
302440,2021-04-20,73,10180000,687000000
302440,2021-04-21,11,1640000,5991000000
302440,2021-04-22,0,0,7261000000
302440,2021-04-23,31,4670000,8290000000
302440,2021-04-26,1,150000,8432000000
302440,2021-04-27,2,310000,8625000000
302440,2021-04-28,1,160000,9010000000
302440,2021-04-29,5,750000,8295000000
302440,2021-04-30,85,12900000,8378000000
302440,2021-05-03,0,0,8241000000
302440,2021-05-04,99,15690000,8753000000
302440,2021-05-06,122,19520000,8872000000
302440,2021-05-07,58,9290000,8905000000
302440,2021-05-10,0,0,8922000000
302440,2021-05-11,190,28790000,8383000000
302440,2021-05-12,504,72990000,8697000000
302440,2021-05-13,0,0,8798000000
302440,2021-05-14,74,10800000,8852000000
302440,2021-05-17,487,77260000,9674000000
302440,2021-05-18,627,101910000,9683000000
302440,2021-05-20,0,0,11483000000
302440,2021-05-21,0,0,11059000000
302440,2021-05-24,0,0,11309000000
302440,2021-05-25,387,62110000,12992000000
302440,2021-05-26,0,0,15852000000
302440,2021-05-27,10,1550000,17691000000
