ticker,trade_date,short_vol,short_amt,lending_balance_amt
204320,2020-01-02,29319,1029030000,43284000000
204320,2020-01-03,27784,952020000,49604000000
204320,2020-01-06,28958,959700000,49761000000
204320,2020-01-07,12120,405550000,50526000000
204320,2020-01-08,18633,604060000,48437000000
204320,2020-01-09,19954,652160000,47928000000
204320,2020-01-10,25668,846850000,50000000000
204320,2020-01-13,22587,745280000,57397000000
204320,2020-01-14,43646,1477600000,61340000000
204320,2020-01-15,25599,874050000,63340000000
204320,2020-01-16,47481,1675310000,71111000000
204320,2020-01-17,39472,1388720000,73775000000
204320,2020-01-20,32190,1141550000,76299000000
204320,2020-01-21,27321,981110000,79242000000
204320,2020-01-22,7879,283040000,79792000000
204320,2020-01-23,74455,2882700000,86098000000
204320,2020-01-28,112997,4120370000,82467000000
204320,2020-01-29,45699,1672700000,83390000000
204320,2020-01-30,80432,2825060000,78737000000
204320,2020-01-31,59726,2042560000,78224000000
204320,2020-02-03,78841,2580370000,77256000000
204320,2020-02-04,71778,2442800000,78259000000
204320,2020-02-05,83017,2839090000,80376000000
204320,2020-02-06,65644,2335610000,86721000000
204320,2020-02-07,88080,3092800000,87874000000
204320,2020-02-10,75207,2579860000,85242000000
204320,2020-02-11,27434,954270000,87192000000
204320,2020-02-12,46531,1671590000,90615000000
204320,2020-02-13,28776,1029330000,88324000000
204320,2020-02-14,17038,600170000,89681000000
204320,2020-02-17,53880,1925600000,93020000000
204320,2020-02-18,62414,2240480000,90730000000
204320,2020-02-19,29633,1053000000,91583000000
204320,2020-02-20,35380,1207510000,90637000000
204320,2020-02-21,39087,1296000000,87508000000
204320,2020-02-24,33653,1064220000,85431000000
204320,2020-02-25,89351,2863150000,94279000000
204320,2020-02-26,40399,1290270000,95723000000
204320,2020-02-27,41749,1327710000,96753000000
204320,2020-02-28,49494,1473380000,94349000000
204320,2020-03-02,42610,1261230000,95032000000
204320,2020-03-03,43250,1292030000,95226000000
204320,2020-03-04,50832,1519790000,99202000000
204320,2020-03-05,39745,1185910000,101841000000
204320,2020-03-06,30663,874650000,98882000000
204320,2020-03-09,43626,1190620000,93941000000
204320,2020-03-10,52040,1397340000,92938000000
204320,2020-03-11,61480,1638210000,95198000000
