ticker,account_date,report_type,fs_type,revenue,operating_profit,net_profit,equity,debt,pub_date
033100,2019-03,1Q,별도,7506688035,364119251,530619146,50972857264,7655357853,2019-05-13
033100,2019-06,2Q,별도,8678289597,600926829,658579798,51600819524,16754997786,2019-08-14
033100,2019-09,3Q,별도,11197875585,1560930439,1811988187,52885103004,11552199890,2019-11-13
033100,2019-12,4Q,별도,45214795714,5741494665,6302077346,56056456160,8236792813,2020-03-30
033100,2020-03,1Q,별도,7835115964,765528913,913997165,56103708718,10742893379,2020-05-14
033100,2020-06,2Q,별도,12218112618,1955180847,2075086420,57732170676,9863066460,2020-08-14
033100,2020-09,3Q,별도,10810984448,-202953604,-100714504,57786436143,8627753679,2020-11-13
033100,2020-12,4Q,별도,44195774535,3778977730,3929424068,58778574487,12450574374,2021-03-15
033100,2021-03,1Q,별도,9885702158,-325165892,138836173,58114317910,16837702059,2021-05-14
033100,2021-06,2Q,별도,12950708360,606576107,821810197,58868426145,23241339935,2021-08-13
033100,2021-09,3Q,별도,11893492805,-671996012,-397088543,58662141345,18732901902,2021-11-12
033100,2021-12,4Q,별도,48783124675,117080075,1173473287,59153165424,18258395730,2022-03-16
033100,2022-03,1Q,별도,9569391845,-744560601,-559593189,57884036827,18667220435,2022-05-13
033100,2022-06,2Q,별도,13084199629,1028250197,1351742821,59182098948,20130290855,2022-08-16
033100,2022-09,3Q,별도,25033417189,6560668566,7746634684,65315728615,21799829679,2022-11-11
033100,2022-12,4Q,별도,86061155911,15983347808,15536672803,70829943784,17061308094,2023-03-31
033100,2023-03,1Q,별도,30382653356,8532056548,9394522901,75968819881,27654925969,2023-05-12
033100,2023-06,2Q,별도,45977680501,19726479842,20370093540,91801196891,31521172559,2023-08-11
033100,2023-09,3Q,별도,41808437803,17054409248,18232484952,105857539943,31704006268,2023-11-17
033100,2023-12,4Q,별도,183941144839,70151892797,71868526635,124804397368,33868881681,2024-03-18
033100,2024-03,1Q,별도,64960591516,25751373032,28043764446,138520042225,47829523074,2024-05-13
033100,2024-06,2Q,별도,77572569346,32761991822,35195506530,165732976817,34000324347,2024-08-09
033100,2024-09,3Q,별도,69436149824,26629834747,26304195493,186178667735,34524622832,2024-11-11
033100,2024-12,4Q,별도,262736051492,97845022385,102828895371,196694449295,45073334552,2025-03-17
033100,2025-03,1Q,별도,50202511817,16068417935,17633255939,195363279578,56651655408,2025-05-13
033100,2025-06,2Q,별도,60357879475,20407513412,20112251219,210484311465,37299989549,2025-08-13
033100,2025-09,3Q,별도,69750099557,22530216218,25819401543,230463506626,32934045600,2025-11-12
