ticker,account_date,report_type,fs_type,revenue,operating_profit,net_profit,equity,debt,pub_date
087010,2019-03,1Q,별도,609419587,-2318194188,-2156865752,42940047415,27293435701,2019-05-15
087010,2019-06,2Q,별도,1449286643,-3300531533,-1931477706,40698601318,24494311461,2019-08-14
087010,2019-09,3Q,별도,393860699,-3867997364,-3777772230,37473715861,24131863187,2019-11-14
087010,2019-12,4Q,별도,1801118527,-12703567632,-17717554794,28086012600,32899825675,2020-03-30
087010,2020-03,1Q,별도,491068658,-3707334649,-3661157711,24511843016,33482406741,2020-05-15
087010,2020-06,2Q,별도,885445042,-4352816317,-5530723524,18733538962,35275953234,2020-08-14
087010,2020-09,3Q,별도,922659041,-4397228636,-4396640561,14796075251,40451826345,2020-11-16
087010,2020-12,4Q,별도,3120697694,-17605941700,-18381916319,77133204635,40568205682,2021-08-13
087010,2021-03,1Q,별도,809622458,-5321646845,-5187224535,71986596290,40592266386,2021-05-17
087010,2021-06,2Q,별도,4194224275,-1689496391,-1585115401,70428413889,40902646127,2021-08-13
087010,2021-09,3Q,별도,830635715,-4396378385,-4286630323,66193430416,13710583601,2021-11-15
087010,2021-12,4Q,별도,6624511963,-15658525764,-15283739414,62282790571,15586163240,2022-03-18
087010,2022-03,1Q,별도,2783372230,-2128026639,-2029284650,60300024167,15233063609,2022-05-13
087010,2022-06,2Q,별도,1009873066,-4095180734,-3684824354,56699739188,16076380844,2022-08-16
087010,2022-09,3Q,별도,1227516043,-3751149954,-3043705765,53623466375,15530594497,2022-11-14
087010,2022-12,4Q,별도,5813995537,-15226653745,-15066996771,53109372080,15165197545,2023-03-17
087010,2023-03,1Q,별도,1163402214,-4161261742,-4011632858,49106046182,14823245153,2023-05-15
087010,2023-06,2Q,별도,695353092,-4490919671,-4508114405,44024651406,15051730636,2023-08-11
087010,2023-09,3Q,별도,683465912,-4172883282,-4140301374,39574125867,15280592114,2023-11-14
087010,2023-12,4Q,별도,3341893572,-15883908215,-15940819154,36127012881,16368962307,2024-03-20
087010,2024-03,1Q,별도,477267161,-4037810778,-4030645655,32096367226,17813089355,2024-05-16
087010,2024-06,2Q,별도,541961364,-4277569588,-8189023472,25300738837,16570111726,2024-08-14
087010,2024-09,3Q,별도,588292270,-4699914049,-4815976666,20712374557,19871383890,2024-11-14
087010,2024-12,4Q,별도,3152181439,-16527819080,-22033671493,151708564960,17184168838,2025-03-20
087010,2025-03,1Q,별도,1620246555,-4352570259,-3321703406,148386861554,16458816931,2025-05-15
087010,2025-06,2Q,별도,1425607749,-4978702501,-3797726292,143975473492,17975537520,2025-08-14
087010,2025-09,3Q,별도,4475710523,-6235438440,-2091790165,146325972735,37417163234,2025-11-14
