ticker,account_date,report_type,fs_type,revenue,operating_profit,net_profit,equity,debt,pub_date
214430,2019-03,1Q,별도,13242905249,1354467897,1555237872,70378687507,19918948774,2019-05-15
214430,2019-06,2Q,별도,12074164724,-621272711,-513667035,70186252575,23087683712,2019-08-14
214430,2019-09,3Q,별도,12281910848,-526391798,-410539478,70041066282,21566324459,2019-11-08
214430,2019-12,4Q,별도,51862038782,-2396259624,-1739854866,69040474582,22505701880,2020-03-27
214430,2020-03,1Q,별도,11552441958,-1530153010,-1294021881,67280325005,26101899367,2020-05-14
214430,2020-06,2Q,별도,20120058971,2741743624,2840900158,69575724067,49018383538,2020-08-14
214430,2020-09,3Q,별도,16048810084,-926109047,-793252619,69274001955,44998705802,2020-11-10
214430,2020-12,4Q,별도,66532479365,768716875,3011540885,70696774927,46274736643,2021-03-19
214430,2021-03,1Q,별도,17607488425,-994727522,-585879091,69846515125,42243300329,2021-05-14
214430,2021-06,2Q,별도,19774257243,-473635521,-302271013,69833348579,38054794729,2021-08-17
214430,2021-09,3Q,별도,20573235149,1615117760,1804465944,71637814523,34169592989,2021-11-12
214430,2021-12,4Q,별도,79723131606,1410841017,3357324317,73242774454,34431373279,2022-03-18
214430,2022-03,1Q,별도,18577664109,1006981330,1478930852,74027537106,30509774076,2022-05-13
214430,2022-06,2Q,별도,18373218045,774016244,1103312859,75130849965,28795700414,2022-08-16
214430,2022-09,3Q,별도,19280675598,1939097971,2120534768,77251384733,25748804369,2022-11-14
214430,2022-12,4Q,별도,83845591819,5686971942,6219766876,78660362925,34665627500,2023-03-17
214430,2023-03,1Q,별도,30637762996,3085977904,3427991442,80221450485,35421372371,2023-05-12
214430,2023-06,2Q,별도,27822562083,2381469892,2605521908,82734963402,37725917378,2023-08-11
214430,2023-09,3Q,별도,32086358192,4169136492,4541612414,86427990751,39577094276,2023-11-10
214430,2023-12,4Q,별도,121539205459,12204489179,13295966425,89807641749,41384291387,2024-03-15
214430,2024-03,1Q,별도,31701843067,4071583151,4469595069,91386959209,33315934333,2024-05-14
214430,2024-06,2Q,별도,29926588552,4086028104,4344786162,95299923866,27918889990,2024-08-13
214430,2024-09,3Q,별도,29121442688,2864598491,2923170308,98004441556,28788991928,2024-11-13
214430,2024-12,4Q,별도,120701833274,14759928402,16374284705,105685894097,41145093016,2025-03-14
214430,2025-03,1Q,별도,38106823084,5789292015,6230162917,112682806587,45665777356,2025-05-14
214430,2025-06,2Q,별도,25305386866,2645038665,4816504270,117329518086,45331616373,2025-08-13
214430,2025-09,3Q,별도,32388388846,4216607701,3913359993,127450575806,52252820783,2025-11-13
