ticker,account_date,report_type,revenue,operating_profit,net_profit,equity,debt,pub_date
141080,2019-03,1Q,9833477252,-308457086,287328178,104672000829,19992401309,2019-05-15
141080,2019-06,2Q,7719361765,-2651405349,-2022744291,102622998203,20978235942,2019-08-13
141080,2019-09,3Q,27854498628,16106475405,16582960706,118994961611,23908477484,2019-11-06
141080,2019-12,4Q,57500138690,8416841998,13586123504,115909345714,25568107367,2020-03-30
141080,2022-06,2Q,11704335993,-6771175796,-7813911310,245001389026,35210274071,2022-08-16
141080,2022-09,3Q,6391193229,-9715046828,-3274652038,243014252567,31829608629,2022-11-14
141080,2022-12,4Q,33412042600,-50375099038,-45091793579,219598926036,32931523513,2023-08-31
141080,2023-03,1Q,7658035009,-18232858912,-17745964089,201925129568,34447593788,2023-05-15
141080,2023-06,2Q,12081402267,-16956823126,-20040825942,184804398760,32165781434,2023-08-11
141080,2023-09,3Q,5218654325,-20440133256,-19765158621,162881402813,37304704885,2023-11-14
141080,2023-12,4Q,34145640069,-80822342649,-73703570475,148221267204,41280911655,2024-03-21
141080,2024-03,1Q,31055835445,2861496109,9414572043,627738114857,137358635717,2024-05-16
141080,2024-06,2Q,30753645209,-10590225212,-7445218944,624983998714,114345057163,2024-08-14
141080,2024-09,3Q,30420046354,516980277,11249833849,637308868542,89836547201,2024-11-14
141080,2024-12,4Q,125898140997,-20913487724,7800099578,615998105853,122384802337,2025-03-21
141080,2025-03,1Q,51575560164,11377928009,26472888882,583315906350,170458600298,2025-05-15
141080,2025-06,2Q,32616872894,-21549573416,-30551997225,571031702992,152185195450,2025-08-14
141080,2025-09,3Q,41409774959,-23196332185,-15630193162,563065394063,136365927751,2025-11-14
