ticker,account_date,report_type,revenue,operating_profit,net_profit,equity,debt,pub_date
310210,2022-06,2Q,687420239,-5458222449,-5980949054,41460883232,32553008855,2022-08-12
310210,2022-09,3Q,7354374139,1062535493,927234555,42614672154,29816188509,2022-11-14
310210,2022-12,4Q,9767826850,-17863480687,-19899662518,34258167614,29691863522,2023-03-23
310210,2023-03,1Q,775431047,-8526108698,-8377787554,25825066467,31525928038,2023-05-11
310210,2023-06,2Q,2071064278,-6829289766,-6713914566,22754253521,27895906581,2023-08-14
310210,2023-09,3Q,593141409,-6633855404,-6624437329,92141766218,14926591371,2023-11-13
310210,2023-12,4Q,4548198888,-31335510474,-36848289927,81343825337,13309408301,2024-03-21
310210,2024-03,1Q,1448919276,-7615525436,-6569706300,78380006709,15359365872,2024-05-14
310210,2024-06,2Q,1202044509,-8637806222,-7739630031,69005327220,15983042303,2024-08-14
310210,2024-09,3Q,345642701,-9493772141,-9437166226,74528462247,7811769397,2024-11-14
310210,2024-12,4Q,4950423110,-36339049690,-32613098090,66412537872,7246106380,2025-03-20
310210,2025-03,1Q,648395042,-14485101418,-14108300854,53021972381,8820230245,2025-05-09
310210,2025-06,2Q,3350250000,-10161278152,-10483122254,46636288201,4716149765,2025-08-14
310210,2025-09,3Q,4140000000,-13563158292,-13804598635,53207112421,46350888989,2025-11-14
