ticker,account_date,report_type,revenue,operating_profit,net_profit,equity,debt,pub_date
023530,2019-03,1Q,4446821739926,205255167848,88972101445,12405889017027,20667377982065,2019-05-15
023530,2019-06,2Q,4456459518604,91508446195,50756764117,12353529759605,21881922226891,2020-08-14
023530,2019-09,3Q,4404712292894,87595987152,-40541770294,11635813679030,21786802708125,2020-08-14
023530,2019-12,4Q,17622000488403,427910873611,-896325552796,11791008348953,22181607402723,2020-08-14
023530,2020-03,1Q,4076714056770,52147584673,-73471802407,11586650554083,21676029221745,2020-08-14
023530,2020-06,2Q,4045851034225,1390260423,-237165577227,11635330969543,22011219135376,2020-08-14
023530,2020-09,3Q,4105923662220,111044709776,-21820944136,11658982512660,22486177196626,2020-11-16
023530,2020-12,4Q,16184381959951,346084471821,-785939690353,11088762567306,21740641629099,2021-03-15
023530,2021-03,1Q,3880033392500,61787319270,-41232931446,11247244039953,23279672442382,2021-05-17
023530,2021-06,2Q,3902541524147,7573380754,-62269044003,11583900655939,22731251780027,2021-08-13
023530,2021-09,3Q,4006633151209,28935233451,290830592026,12210166107721,22144001205229,2021-11-15
023530,2021-12,4Q,15573550042665,207602693266,-292279479719,11797006676936,21629527142066,2022-03-15
023530,2022-03,1Q,3770797424622,68714294681,48396223320,11448279757942,21229311149288,2022-06-07
023530,2022-06,2Q,3901887665793,74387812353,25462634923,11431790771674,21045083796458,2022-08-16
023530,2022-09,3Q,4013287250418,150050456942,-113325657147,11324887935233,21344969797977,2022-11-14
023530,2022-12,4Q,15476035656554,386225594610,-324570885303,11035116786002,20668459087068,2023-03-15
023530,2023-03,1Q,3561590512164,112513631806,56273245405,11037884327440,20846831272624,2023-05-15
023530,2023-06,2Q,3622248430828,51488081990,109537231918,11047350733686,19975465698618,2023-08-14
023530,2023-09,3Q,3739121259541,142036762784,49755105137,11010931552665,20056776893307,2023-12-01
023530,2023-12,4Q,14555863880290,508404731640,174403554447,10836449718811,19808248977726,2024-03-15
023530,2024-03,1Q,3513305938897,114871108389,77908497453,10683156656368,20196299623964,2024-05-14
023530,2024-06,2Q,3427810100753,56054697237,-90811067190,10649769683932,19861943706647,2024-08-13
023530,2024-09,3Q,3568352544649,154987063225,-110289522,10648660918056,20270339648675,2024-11-14
023530,2024-12,4Q,13986578270060,473113964780,-968016249419,17033617306143,21969427278570,2025-03-14
023530,2025-03,1Q,3456770795359,148235715781,16192014356,17000279210740,21720342830146,2025-05-15
023530,2025-06,2Q,3349696312762,40639191033,-20362332785,16640697317913,21525293948556,2025-08-14
023530,2025-09,3Q,3410062599971,130510430154,-56638004687,16784845661512,21464466463016,2025-11-14
