ticker,account_date,report_type,revenue,operating_profit,net_profit,equity,debt,pub_date
280360,2019-03,1Q,491768297752,15117451970,23439778889,1273134463997,1366000541206,2019-05-15
280360,2019-06,2Q,545691037786,27376295265,20453315247,1297681885726,1402441362387,2019-08-14
280360,2019-09,3Q,540231586189,38593827750,39694310611,1339860633438,1406804245610,2019-11-14
280360,2019-12,4Q,2092996363228,97328867315,50278396361,1300790529453,1415384426764,2020-03-30
280360,2020-03,1Q,501758122184,18374470347,-18045319231,1183175898128,1439814877711,2020-05-15
280360,2020-06,2Q,496977844164,25463132342,32332597087,1215508495215,1439951088606,2020-08-13
280360,2020-09,3Q,555937451797,47790072740,26373859611,1225256022801,1468895568147,2020-11-16
280360,2020-12,4Q,2076048021946,112550163341,40985719946,1279895890893,1363139326560,2021-03-15
280360,2021-03,1Q,508000203065,25911575333,33120556525,1210244229267,1330135330374,2021-05-17
280360,2021-06,2Q,509057684279,24825652867,15467267884,1211362251469,1333320555276,2021-08-13
280360,2021-09,3Q,579697548996,44907457419,54433685721,1265795937190,1354523843285,2021-11-12
280360,2021-12,4Q,2145407244785,108471110781,56993161875,1234116834617,1339676736464,2022-03-15
280360,2022-03,1Q,505788898564,10759677111,-11329236351,1212528175866,1360711154943,2022-05-13
280360,2022-06,2Q,567774343406,24954633219,92430228224,1282921466938,1357146542412,2022-08-12
280360,2022-09,3Q,1103251109861,57225203889,73667235238,2133366286933,1974095862547,2022-11-14
280360,2022-12,4Q,3203264461054,112384711475,47034591805,2023846404825,1993627503014,2023-03-15
280360,2023-03,1Q,959596745284,18607701087,21599955116,2025111445841,2156999712371,2023-05-15
280360,2023-06,2Q,1040615131806,48566564387,13446205729,2035191215983,2045608282664,2023-08-11
280360,2023-09,3Q,1086537054352,80631860076,71161825463,2188414884846,2128682929697,2023-11-14
280360,2023-12,4Q,4066391863111,177018020646,70534632928,2142636835874,2056459476713,2024-03-22
280360,2024-03,1Q,951054013625,37334811843,21511888965,2166210964002,2165780645029,2024-05-14
280360,2024-06,2Q,1044195926481,63289794506,42109627238,2222369737514,2121909065988,2024-08-14
280360,2024-09,3Q,1078471076038,76043580021,46073686737,2218344278682,2097980918288,2024-11-14
280360,2024-12,4Q,4044252365474,157101345659,84616418965,2226381930534,2115346236982,2025-06-17
280360,2025-03,1Q,975125609765,16385805173,23665036467,2237829217159,2160352228870,2025-05-14
280360,2025-06,2Q,1064280630826,34333734683,17661106956,2200522034738,2121596339744,2025-08-13
280360,2025-09,3Q,1156782114191,69262715787,48723306348,2235518524127,2266735184996,2025-11-13
