ticker,account_date,report_type,revenue,operating_profit,net_profit,equity,debt,pub_date
138040,2023-09,3Q,12736756867512,808702744431,577166997365,9921192848256,84950540541557,2024-02-08
138040,2023-12,4Q,58558358469900,2933502360678,2041748863339,10097185065931,92138657614258,2024-04-30
138040,2024-03,1Q,12563849568546,770786222345,585768824547,9861016912101,93243722074774,2024-06-28
138040,2024-06,2Q,11222749598651,1005597431616,730148310972,10238730522973,94615551909180,2024-09-30
138040,2024-09,3Q,10906897828909,901536434806,649930147204,10725386699969,101172943271285,2024-12-30
138040,2024-12,4Q,46574506350960,3188889251285,2306096480027,10930036028008,104648211084850,2025-03-28
138040,2025-03,1Q,8230277845059,721743012746,609833767783,10781004855825,108902307998151,2025-05-30
138040,2025-06,2Q,9351455876300,949733159526,725116172403,11295577008660,112949768093018,2025-08-29
138040,2025-09,3Q,7370496338764,862313205452,654695255393,11404138638484,121285326578648,2025-11-28
