ticker,event_date,event_type,description
121600,2020-02-12,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변동
121600,2020-02-12,배당락_배당결정,현금ㆍ현물배당결정
121600,2021-02-19,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변동
121600,2021-02-19,배당락_배당결정,현금ㆍ현물배당결정
121600,2021-03-12,실적발표,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변동
121600,2021-05-04,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
121600,2021-05-24,유상증자,주요사항보고서(유상증자결정)
121600,2021-06-24,유상증자,[기재정정]주요사항보고서(유상증자결정)
121600,2022-02-28,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변동
121600,2022-02-28,배당락_배당결정,현금ㆍ현물배당결정
121600,2022-05-13,유상증자,주요사항보고서(유상증자결정)
121600,2022-05-20,유상증자,[기재정정]주요사항보고서(유상증자결정)
121600,2023-02-27,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변동
121600,2023-02-27,배당락_배당결정,현금ㆍ현물배당결정
121600,2024-03-05,배당락_배당결정,현금ㆍ현물배당결정              
121600,2025-03-04,배당락_배당결정,현금ㆍ현물배당결정              
121600,2025-03-04,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변동              
121600,2025-03-14,실적발표,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변동              
