ticker,event_date,event_type,description
053800,2020-02-05,실적발표,결산실적공시예고
053800,2020-02-11,배당락_배당결정,현금ㆍ현물배당결정
053800,2020-02-11,실적발표,영업(잠정)실적(공정공시)
053800,2020-02-11,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2020-04-23,실적발표,결산실적공시예고
053800,2020-04-29,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2020-04-29,실적발표,영업(잠정)실적(공정공시)
053800,2020-07-27,실적발표,결산실적공시예고
053800,2020-07-31,실적발표,영업(잠정)실적(공정공시)
053800,2020-07-31,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2020-10-30,실적발표,결산실적공시예고
053800,2020-11-05,실적발표,영업(잠정)실적(공정공시)
053800,2020-11-05,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2021-02-04,실적발표,결산실적공시예고
053800,2021-02-09,배당락_배당결정,현금ㆍ현물배당결정
053800,2021-02-09,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2021-02-09,실적발표,영업(잠정)실적(공정공시)
053800,2021-04-28,실적발표,결산실적공시예고
053800,2021-04-30,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2021-04-30,실적발표,영업(잠정)실적(공정공시)
053800,2021-07-26,실적발표,결산실적공시예고
053800,2021-07-29,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2021-07-29,실적발표,영업(잠정)실적(공정공시)
053800,2021-10-26,실적발표,결산실적공시예고
053800,2021-10-29,실적발표,영업(잠정)실적(공정공시)
053800,2021-10-29,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2022-02-08,실적발표,결산실적공시예고
053800,2022-02-11,실적발표,영업(잠정)실적(공정공시)
053800,2022-02-11,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2022-02-11,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변동
053800,2022-02-11,배당락_배당결정,현금ㆍ현물배당결정
053800,2022-04-26,실적발표,결산실적공시예고
053800,2022-04-29,실적발표,영업(잠정)실적(공정공시)
053800,2022-04-29,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2022-07-26,실적발표,결산실적공시예고
053800,2022-07-29,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2022-07-29,실적발표,영업(잠정)실적(공정공시)
053800,2022-10-26,실적발표,결산실적공시예고
053800,2022-10-28,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2022-10-28,실적발표,영업(잠정)실적(공정공시)
053800,2023-02-09,실적발표,결산실적공시예고
053800,2023-02-13,실적발표,영업(잠정)실적(공정공시)
053800,2023-02-13,배당락_배당결정,현금ㆍ현물배당결정
053800,2023-02-13,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변동
053800,2023-04-28,실적발표,결산실적공시예고
053800,2023-05-02,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2023-05-02,실적발표,영업(잠정)실적(공정공시)
053800,2023-07-24,실적발표,결산실적공시예고
053800,2023-07-27,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2023-07-27,실적발표,영업(잠정)실적(공정공시)
053800,2023-10-25,실적발표,결산실적공시예고
053800,2023-10-27,실적발표,영업(잠정)실적(공정공시)
053800,2023-10-27,실적발표,연결재무제표기준영업(잠정)실적(공정공시)
053800,2024-02-07,실적발표,결산실적공시예고              
053800,2024-02-13,실적발표,영업(잠정)실적(공정공시)              
053800,2024-02-13,실적발표,매출액또는손익구조30%(대규모법인은15%)이상변동              
053800,2024-02-13,배당락_배당결정,현금ㆍ현물배당결정              
053800,2024-04-01,유상증자,주요사항보고서(유상증자결정)
053800,2024-04-19,실적발표,결산실적공시예고              
053800,2024-04-24,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
053800,2024-04-24,실적발표,영업(잠정)실적(공정공시)              
053800,2024-06-19,유상증자,[기재정정]주요사항보고서(유상증자결정)
053800,2024-07-24,실적발표,결산실적공시예고              
053800,2024-07-29,실적발표,영업(잠정)실적(공정공시)              
053800,2024-07-29,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
053800,2024-09-23,유상증자,[기재정정]주요사항보고서(유상증자결정)
053800,2024-10-31,실적발표,결산실적공시예고              
053800,2024-11-05,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
053800,2024-11-05,실적발표,영업(잠정)실적(공정공시)              
053800,2025-02-07,실적발표,결산실적공시예고              
053800,2025-02-11,실적발표,영업(잠정)실적(공정공시)              
053800,2025-02-11,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
053800,2025-02-11,배당락_배당결정,현금ㆍ현물배당결정              
053800,2025-04-30,실적발표,결산실적공시예고              
053800,2025-05-07,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
053800,2025-05-07,실적발표,영업(잠정)실적(공정공시)              
053800,2025-07-24,실적발표,결산실적공시예고              
053800,2025-07-29,실적발표,영업(잠정)실적(공정공시)              
053800,2025-07-29,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
053800,2025-10-27,실적발표,결산실적공시예고              
053800,2025-10-29,실적발표,영업(잠정)실적(공정공시)              
053800,2025-10-29,실적발표,연결재무제표기준영업(잠정)실적(공정공시)              
